QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 12
100100 399.63 0 0
100101 399.27 0 0
100102 399.27 0 0
100103 399.63 0 0
100104 399.63 0 0
100105 399.63 0 0
100106 400.37 0 0
100107 400.37 0 0
100109 400.37 0 0
100110 400.37 0 0
100111 400.73 0 0
100114 400.73 0 0
QRcodeTable Start
qrcode_table的大小为: 8
100301 311.67 -188.327 -92.264
100302 311.643 -189.351 -91.1349
100303 312.347 -189.361 -91.0547
100315 311.113 -207.294 -90.6139
100327 312.376 -188.377 -91.0937
100336 311.092 -208.29 -91.0267
100337 311.833 -208.319 -90.9734
100338 311.861 -207.317 -90.3825
MV_SC2005AM Start

error: x1 == x2
error: x1 == x2
error: x1 == x2
error: x1 == x2
 init 

2024-8-21_18:10:32.965635,-nan,-nan,-nan,-nan,1724235032.9656,-nan,-nan,-nan
2024-8-21_18:10:32.965700,-nan,-nan,-nan,-nan,1724235032.9657,399.9988,0.7082,-90.8700
2024-8-21_18:12:12.190853,-nan,-nan,-nan,-nan,1724235132.1909,-nan,-nan,-nan
2024-8-21_18:12:30.022226,-nan,-nan,-nan,-nan,1724235150.0222,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.022435,0.0000,0.0000,0.0000,0.0000,1724235150.0224,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.022639,0.0000,0.0000,0.0000,0.0000,1724235150.0226,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.022834,0.0000,0.0000,0.0000,0.0000,1724235150.0228,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.023028,0.0000,0.0000,0.0000,0.0000,1724235150.0230,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.023226,0.0000,0.0000,0.0000,0.0000,1724235150.0232,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.023419,0.0000,0.0000,0.0000,0.0000,1724235150.0234,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.023631,0.0000,0.0000,0.0000,0.0000,1724235150.0236,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.023824,0.0000,0.0000,0.0000,0.0000,1724235150.0238,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.024024,0.0000,0.0000,0.0000,0.0000,1724235150.0240,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.024211,0.0000,0.0000,0.0000,0.0000,1724235150.0242,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.024421,0.0000,0.0000,0.0000,0.0000,1724235150.0244,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.024611,0.0000,0.0000,0.0000,0.0000,1724235150.0246,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.024831,0.0000,0.0000,0.0000,0.0000,1724235150.0248,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.025027,0.0000,0.0000,0.0000,0.0000,1724235150.0250,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.025199,0.0000,0.0000,0.0000,0.0000,1724235150.0252,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.025377,0.0000,0.0000,0.0000,0.0000,1724235150.0254,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.025575,0.0000,0.0000,0.0000,0.0000,1724235150.0256,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.025816,0.0000,0.0000,0.0000,0.0000,1724235150.0258,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.026021,0.0000,0.0000,0.0000,0.0000,1724235150.0260,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.026200,0.0000,0.0000,0.0000,0.0000,1724235150.0262,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.026393,0.0000,0.0000,0.0000,0.0000,1724235150.0264,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.026606,0.0000,0.0000,0.0000,0.0000,1724235150.0266,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.026801,0.0000,0.0000,0.0000,0.0000,1724235150.0268,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.027010,0.0000,0.0000,0.0000,0.0000,1724235150.0270,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.027202,0.0000,0.0000,0.0000,0.0000,1724235150.0272,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.027403,0.0000,0.0000,0.0000,0.0000,1724235150.0274,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.027548,0.0000,0.0000,0.0000,0.0000,1724235150.0275,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.027683,0.0000,0.0000,0.0000,0.0000,1724235150.0277,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.027817,0.0000,0.0000,0.0000,0.0000,1724235150.0278,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.027990,0.0000,0.0000,0.0000,0.0000,1724235150.0280,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.028135,0.0000,0.0000,0.0000,0.0000,1724235150.0281,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.028277,0.0000,0.0000,0.0000,0.0000,1724235150.0283,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.028424,0.0000,0.0000,0.0000,0.0000,1724235150.0284,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.028594,0.0000,0.0000,0.0000,0.0000,1724235150.0286,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.028738,0.0000,0.0000,0.0000,0.0000,1724235150.0287,399.9988,0.7082,-90.8700
2024-8-21_18:14:20.343974,0.0000,0.0000,0.0000,0.0000,1724235260.3440,399.9988,0.7082,-90.8700
2024-8-21_18:14:20.344053,0.0000,0.0000,0.0000,0.0000,1724235260.3441,399.9988,0.7082,-90.8700
2024-8-21_18:14:20.344121,0.0000,0.0000,0.0000,0.0000,1724235260.3441,399.9988,0.7082,-90.8700
2024-8-21_18:14:20.344190,0.0000,0.0000,0.0000,0.0000,1724235260.3442,399.9988,0.7082,-90.8700
2024-8-21_18:14:20.344266,0.0000,0.0000,0.0000,0.0000,1724235260.3443,399.9988,0.7082,-90.8700
2024-8-21_18:14:20.344332,0.0000,0.0000,0.0000,0.0000,1724235260.3443,399.9988,0.7082,-90.8700
2024-8-21_18:14:20.344393,0.0000,0.0000,0.0000,0.0000,1724235260.3444,399.9988,0.7082,-90.8700
2024-8-21_18:14:20.344450,0.0000,0.0000,0.0000,0.0000,1724235260.3444,399.9988,0.7082,-90.8700
2024-8-21_18:14:20.344492,0.0000,0.0000,0.0000,0.0000,1724235260.3445,399.9988,0.7082,-90.8700
2024-8-21_18:14:20.344556,0.0000,0.0000,0.0000,0.0000,1724235260.3446,399.9988,0.7082,-90.8700
2024-8-21_18:14:20.344618,0.0000,0.0000,0.0000,0.0000,1724235260.3446,399.9988,0.7082,-90.8700
2024-8-21_18:14:20.344682,0.0000,0.0000,0.0000,0.0000,1724235260.3447,399.9988,0.7082,-90.8700
2024-8-21_18:14:20.344743,0.0000,0.0000,0.0000,0.0000,1724235260.3447,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.656799,0.0000,0.0000,0.0000,0.0000,1724235263.6568,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.656897,0.0000,0.0000,0.0000,0.0000,1724235263.6569,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.656977,0.0000,0.0000,0.0000,0.0000,1724235263.6570,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.657056,0.0000,0.0000,0.0000,0.0000,1724235263.6571,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.657125,0.0000,0.0000,0.0000,0.0000,1724235263.6571,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.657200,0.0000,0.0000,0.0000,0.0000,1724235263.6572,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.657270,0.0000,0.0000,0.0000,0.0000,1724235263.6573,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.657354,0.0000,0.0000,0.0000,0.0000,1724235263.6574,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.657434,0.0000,0.0000,0.0000,0.0000,1724235263.6574,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.657510,0.0000,0.0000,0.0000,0.0000,1724235263.6575,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.657629,0.0000,0.0000,0.0000,0.0000,1724235263.6576,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.657719,0.0000,0.0000,0.0000,0.0000,1724235263.6577,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.657807,0.0000,0.0000,0.0000,0.0000,1724235263.6578,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.657897,0.0000,0.0000,0.0000,0.0000,1724235263.6579,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.657985,0.0000,0.0000,0.0000,0.0000,1724235263.6580,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.658061,0.0000,0.0000,0.0000,0.0000,1724235263.6581,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.658132,0.0000,0.0000,0.0000,0.0000,1724235263.6581,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.658201,0.0000,0.0000,0.0000,0.0000,1724235263.6582,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.658267,0.0000,0.0000,0.0000,0.0000,1724235263.6583,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.658334,0.0000,0.0000,0.0000,0.0000,1724235263.6583,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.658424,0.0000,0.0000,0.0000,0.0000,1724235263.6584,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.658503,0.0000,0.0000,0.0000,0.0000,1724235263.6585,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.658578,0.0000,0.0000,0.0000,0.0000,1724235263.6586,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.658660,0.0000,0.0000,0.0000,0.0000,1724235263.6587,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.658746,0.0000,0.0000,0.0000,0.0000,1724235263.6587,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.658822,0.0000,0.0000,0.0000,0.0000,1724235263.6588,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.658894,0.0000,0.0000,0.0000,0.0000,1724235263.6589,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.658970,0.0000,0.0000,0.0000,0.0000,1724235263.6590,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.659051,0.0000,0.0000,0.0000,0.0000,1724235263.6591,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.659115,0.0000,0.0000,0.0000,0.0000,1724235263.6591,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.659186,0.0000,0.0000,0.0000,0.0000,1724235263.6592,399.9988,0.7082,-90.8700
2024-8-21_18:14:23.659272,0.0000,0.0000,0.0000,0.0000,1724235263.6593,399.9988,0.7082,-90.8700
2024-8-21_18:14:27.057222,0.0000,0.0000,0.0000,0.0000,1724235267.0572,399.9988,0.7082,-90.8700
2024-8-21_18:14:27.057447,0.0000,0.0000,0.0000,0.0000,1724235267.0574,399.9988,0.7082,-90.8700
2024-8-21_18:14:27.057669,0.0000,0.0000,0.0000,0.0000,1724235267.0577,399.9988,0.7082,-90.8700
2024-8-21_18:12:30.022046,0.0004,0.0004,0.0002,-0.0300,1724235150.0220,399.9992,0.7084,-90.9000
2024-8-21_18:14:27.057886,0.0004,-0.0004,-0.0002,0.0300,1724235267.0579,399.9988,0.7082,-90.8700
2024-8-21_18:14:28.955459,0.0004,0.0004,0.0002,-0.0300,1724235268.9555,399.9992,0.7084,-90.9000
2024-8-21_18:14:28.955527,0.0000,0.0000,0.0000,0.0000,1724235268.9555,399.9992,0.7084,-90.9000
2024-8-21_18:14:28.955589,0.0000,0.0000,0.0000,0.0000,1724235268.9556,399.9992,0.7084,-90.9000
2024-8-21_18:14:28.955652,0.0000,0.0000,0.0000,0.0000,1724235268.9557,399.9992,0.7084,-90.9000
2024-8-21_18:14:28.955714,0.0000,0.0000,0.0000,0.0000,1724235268.9557,399.9992,0.7084,-90.9000
2024-8-21_18:14:28.955789,0.0000,0.0000,0.0000,0.0000,1724235268.9558,399.9992,0.7084,-90.9000
2024-8-21_18:14:28.955854,0.0000,0.0000,0.0000,0.0000,1724235268.9559,399.9992,0.7084,-90.9000
2024-8-21_18:14:28.955929,0.0000,0.0000,0.0000,0.0000,1724235268.9559,399.9992,0.7084,-90.9000
2024-8-21_18:14:30.073456,0.0000,0.0000,0.0000,0.0000,1724235270.0735,399.9992,0.7084,-90.9000
2024-8-21_18:14:30.073520,0.0000,0.0000,0.0000,0.0000,1724235270.0735,399.9992,0.7084,-90.9000
2024-8-21_18:14:30.073586,0.0000,0.0000,0.0000,0.0000,1724235270.0736,399.9992,0.7084,-90.9000
2024-8-21_18:14:30.073663,0.0000,0.0000,0.0000,0.0000,1724235270.0737,399.9992,0.7084,-90.9000
2024-8-21_18:14:30.073706,0.0000,0.0000,0.0000,0.0000,1724235270.0737,399.9992,0.7084,-90.9000
2024-8-21_18:14:30.073746,0.0000,0.0000,0.0000,0.0000,1724235270.0737,399.9992,0.7084,-90.9000
2024-8-21_18:14:30.073800,0.0000,0.0000,0.0000,0.0000,1724235270.0738,399.9992,0.7084,-90.9000
2024-8-21_18:14:30.073842,0.0000,0.0000,0.0000,0.0000,1724235270.0738,399.9992,0.7084,-90.9000
2024-8-21_18:14:30.073891,0.0000,0.0000,0.0000,0.0000,1724235270.0739,399.9992,0.7084,-90.9000
2024-8-21_18:14:30.073950,0.0000,0.0000,0.0000,0.0000,1724235270.0740,399.9992,0.7084,-90.9000
2024-8-21_18:14:30.074009,0.0000,0.0000,0.0000,0.0000,1724235270.0740,399.9992,0.7084,-90.9000
2024-8-21_18:14:30.074076,0.0000,0.0000,0.0000,0.0000,1724235270.0741,399.9992,0.7084,-90.9000
2024-8-21_18:14:30.074139,0.0000,0.0000,0.0000,0.0000,1724235270.0741,399.9992,0.7084,-90.9000
2024-8-21_18:15:38.826028,0.0000,0.0000,0.0000,0.0000,1724235338.8260,399.9992,0.7084,-90.9000
2024-8-21_18:15:38.826166,0.0000,0.0000,0.0000,0.0000,1724235338.8262,399.9992,0.7084,-90.9000
2024-8-21_18:15:38.826275,0.0000,0.0000,0.0000,0.0000,1724235338.8263,399.9992,0.7084,-90.9000
2024-8-21_18:15:38.826372,0.0000,0.0000,0.0000,0.0000,1724235338.8264,399.9992,0.7084,-90.9000
2024-8-21_18:15:38.826480,0.0000,0.0000,0.0000,0.0000,1724235338.8265,399.9992,0.7084,-90.9000
2024-8-21_18:15:38.826604,0.0000,0.0000,0.0000,0.0000,1724235338.8266,399.9992,0.7084,-90.9000
2024-8-21_18:15:38.826716,0.0000,0.0000,0.0000,0.0000,1724235338.8267,399.9992,0.7084,-90.9000
2024-8-21_18:15:40.422910,0.0000,0.0000,0.0000,0.0000,1724235340.4229,399.9992,0.7084,-90.9000
2024-8-21_18:15:40.423019,0.0000,0.0000,0.0000,0.0000,1724235340.4230,399.9992,0.7084,-90.9000
2024-8-21_18:15:40.423107,0.0000,0.0000,0.0000,0.0000,1724235340.4231,399.9992,0.7084,-90.9000
2024-8-21_18:15:40.423203,0.0000,0.0000,0.0000,0.0000,1724235340.4232,399.9992,0.7084,-90.9000
2024-8-21_18:15:40.423283,0.0000,0.0000,0.0000,0.0000,1724235340.4233,399.9992,0.7084,-90.9000
2024-8-21_18:15:40.423349,0.0000,0.0000,0.0000,0.0000,1724235340.4233,399.9992,0.7084,-90.9000
2024-8-21_18:15:40.423428,0.0000,0.0000,0.0000,0.0000,1724235340.4234,399.9992,0.7084,-90.9000
2024-8-21_18:15:40.423509,0.0000,0.0000,0.0000,0.0000,1724235340.4235,399.9992,0.7084,-90.9000
2024-8-21_18:15:40.423585,0.0000,0.0000,0.0000,0.0000,1724235340.4236,399.9992,0.7084,-90.9000
2024-8-21_18:15:40.423673,0.0000,0.0000,0.0000,0.0000,1724235340.4237,399.9992,0.7084,-90.9000
2024-8-21_18:15:40.423759,0.0000,0.0000,0.0000,0.0000,1724235340.4238,399.9992,0.7084,-90.9000
2024-8-21_18:15:40.423845,0.0000,0.0000,0.0000,0.0000,1724235340.4238,399.9992,0.7084,-90.9000
2024-8-21_18:15:40.423934,0.0000,0.0000,0.0000,0.0000,1724235340.4239,399.9992,0.7084,-90.9000
2024-8-21_18:15:40.424038,0.0000,0.0000,0.0000,0.0000,1724235340.4240,399.9992,0.7084,-90.9000
2024-8-21_18:15:40.424121,0.0000,0.0000,0.0000,0.0000,1724235340.4241,399.9992,0.7084,-90.9000
2024-8-21_18:15:40.424197,0.0000,0.0000,0.0000,0.0000,1724235340.4242,399.9992,0.7084,-90.9000
2024-8-21_18:15:40.424270,0.0000,0.0000,0.0000,0.0000,1724235340.4243,399.9992,0.7084,-90.9000
2024-8-21_18:15:40.424343,0.0000,0.0000,0.0000,0.0000,1724235340.4243,399.9992,0.7084,-90.9000
2024-8-21_18:15:40.424419,0.0000,0.0000,0.0000,0.0000,1724235340.4244,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.751147,0.0000,0.0000,0.0000,0.0000,1724235341.7511,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.751208,0.0000,0.0000,0.0000,0.0000,1724235341.7512,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.751244,0.0000,0.0000,0.0000,0.0000,1724235341.7512,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.751273,0.0000,0.0000,0.0000,0.0000,1724235341.7513,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.751311,0.0000,0.0000,0.0000,0.0000,1724235341.7513,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.751367,0.0000,0.0000,0.0000,0.0000,1724235341.7514,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.751412,0.0000,0.0000,0.0000,0.0000,1724235341.7514,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.751457,0.0000,0.0000,0.0000,0.0000,1724235341.7515,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.751500,0.0000,0.0000,0.0000,0.0000,1724235341.7515,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.751544,0.0000,0.0000,0.0000,0.0000,1724235341.7515,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.751590,0.0000,0.0000,0.0000,0.0000,1724235341.7516,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.751635,0.0000,0.0000,0.0000,0.0000,1724235341.7516,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.751675,0.0000,0.0000,0.0000,0.0000,1724235341.7517,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.751719,0.0000,0.0000,0.0000,0.0000,1724235341.7517,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.751759,0.0000,0.0000,0.0000,0.0000,1724235341.7518,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.751800,0.0000,0.0000,0.0000,0.0000,1724235341.7518,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.751840,0.0000,0.0000,0.0000,0.0000,1724235341.7518,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.751880,0.0000,0.0000,0.0000,0.0000,1724235341.7519,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.751919,0.0000,0.0000,0.0000,0.0000,1724235341.7519,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.751959,0.0000,0.0000,0.0000,0.0000,1724235341.7520,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.752000,0.0000,0.0000,0.0000,0.0000,1724235341.7520,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.752044,0.0000,0.0000,0.0000,0.0000,1724235341.7520,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.752086,0.0000,0.0000,0.0000,0.0000,1724235341.7521,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.752126,0.0000,0.0000,0.0000,0.0000,1724235341.7521,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.752166,0.0000,0.0000,0.0000,0.0000,1724235341.7522,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.752206,0.0000,0.0000,0.0000,0.0000,1724235341.7522,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.752246,0.0000,0.0000,0.0000,0.0000,1724235341.7522,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.752287,0.0000,0.0000,0.0000,0.0000,1724235341.7523,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.752327,0.0000,0.0000,0.0000,0.0000,1724235341.7523,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.752367,0.0000,0.0000,0.0000,0.0000,1724235341.7524,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.752416,0.0000,0.0000,0.0000,0.0000,1724235341.7524,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.752456,0.0000,0.0000,0.0000,0.0000,1724235341.7525,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.752498,0.0000,0.0000,0.0000,0.0000,1724235341.7525,399.9992,0.7084,-90.9000
2024-8-21_18:15:41.752538,0.0000,0.0000,0.0000,0.0000,1724235341.7525,399.9992,0.7084,-90.9000
2024-8-21_18:15:44.249104,0.0000,0.0000,0.0000,0.0000,1724235344.2491,399.9992,0.7084,-90.9000
2024-8-21_18:15:44.249222,0.0000,0.0000,0.0000,0.0000,1724235344.2492,399.9992,0.7084,-90.9000
2024-8-21_18:15:44.249337,0.0000,0.0000,0.0000,0.0000,1724235344.2493,399.9992,0.7084,-90.9000
2024-8-21_18:15:44.249416,0.0000,0.0000,0.0000,0.0000,1724235344.2494,399.9992,0.7084,-90.9000
2024-8-21_18:15:44.249482,0.0000,0.0000,0.0000,0.0000,1724235344.2495,399.9992,0.7084,-90.9000
2024-8-21_18:15:44.249550,0.0000,0.0000,0.0000,0.0000,1724235344.2496,399.9992,0.7084,-90.9000
2024-8-21_18:15:44.249637,0.0000,0.0000,0.0000,0.0000,1724235344.2496,399.9992,0.7084,-90.9000
2024-8-21_18:15:44.249706,0.0000,0.0000,0.0000,0.0000,1724235344.2497,399.9992,0.7084,-90.9000
2024-8-21_18:15:44.249773,0.0000,0.0000,0.0000,0.0000,1724235344.2498,399.9992,0.7084,-90.9000
2024-8-21_18:15:44.249840,0.0000,0.0000,0.0000,0.0000,1724235344.2498,399.9992,0.7084,-90.9000
2024-8-21_18:15:44.249936,0.0000,0.0000,0.0000,0.0000,1724235344.2499,399.9992,0.7084,-90.9000
2024-8-21_18:15:44.250026,0.0000,0.0000,0.0000,0.0000,1724235344.2500,399.9992,0.7084,-90.9000
2024-8-21_18:15:44.250120,0.0000,0.0000,0.0000,0.0000,1724235344.2501,399.9992,0.7084,-90.9000
2024-8-21_18:15:44.250208,0.0000,0.0000,0.0000,0.0000,1724235344.2502,399.9992,0.7084,-90.9000
2024-8-21_18:15:44.250300,0.0000,0.0000,0.0000,0.0000,1724235344.2503,399.9992,0.7084,-90.9000
2024-8-21_18:15:44.250393,0.0000,0.0000,0.0000,0.0000,1724235344.2504,399.9992,0.7084,-90.9000
