QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 12
100100 399.63 -199.27 -90
100101 399.27 -199.63 -90
100102 399.27 -200.37 -90
100103 399.63 -200.73 -90
100104 399.63 -200.37 -90
100105 399.63 -199.63 -90
100106 400.37 -199.27 -90
100107 400.37 -199.63 -90
100109 400.37 -200.37 -90
100110 400.37 -200.73 -90
100111 400.73 -200.37 -90
100114 400.73 -199.63 -90
QRcodeTable Start
qrcode_table的大小为: 8
100301 311.67 -188.327 -92.264
100302 311.643 -189.351 -91.1349
100303 312.347 -189.361 -91.0547
100315 311.113 -207.294 -90.6139
100327 312.376 -188.377 -91.0937
100336 311.092 -208.29 -91.0267
100337 311.833 -208.319 -90.9734
100338 311.861 -207.317 -90.3825
MV_SC2005AM Start

error: x1 == x2
error: x1 == x2
error: x1 == x2
error: x1 == x2
 init 

2024-8-21_18:19:4.990796,-nan,-nan,-nan,-nan,1724235544.9908,-nan,-nan,-nan
2024-8-21_18:19:4.990773,-nan,-nan,-nan,-nan,1724235544.9908,401.0781,-198.8991,179.1100
2024-8-21_18:19:5.000836,0.0004,0.0003,-0.0003,-0.0200,1724235545.0008,401.0785,-198.8993,179.0900
2024-8-21_18:19:5.007692,0.0000,0.0000,0.0000,0.0000,1724235545.0077,401.0785,-198.8993,179.0900
2024-8-21_18:19:5.010827,0.0002,-0.0001,-0.0001,-0.0100,1724235545.0108,401.0783,-198.8994,179.0800
2024-8-21_18:19:5.020834,0.0001,-0.0001,0.0001,0.0100,1724235545.0208,401.0783,-198.8993,179.0900
2024-8-21_18:19:5.027746,0.0000,0.0000,0.0000,0.0000,1724235545.0277,401.0783,-198.8993,179.0900
2024-8-21_18:19:5.030826,0.0003,-0.0001,0.0002,0.0200,1724235545.0308,401.0781,-198.8991,179.1100
2024-8-21_18:19:5.040832,0.0003,0.0003,-0.0001,-0.0100,1724235545.0408,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.047715,0.0000,0.0000,0.0000,0.0000,1724235545.0477,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.050844,0.0000,0.0000,0.0000,0.0000,1724235545.0508,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.060910,0.0003,-0.0003,0.0001,0.0100,1724235545.0609,401.0781,-198.8991,179.1100
2024-8-21_18:19:5.067720,0.0000,0.0000,0.0000,0.0000,1724235545.0677,401.0781,-198.8991,179.1100
2024-8-21_18:19:5.070899,0.0000,0.0000,0.0000,0.0000,1724235545.0709,401.0781,-198.8991,179.1100
2024-8-21_18:19:5.080871,0.0002,0.0002,-0.0000,0.0000,1724235545.0809,401.0783,-198.8991,179.1100
2024-8-21_18:19:5.087794,0.0000,0.0000,0.0000,0.0000,1724235545.0878,401.0783,-198.8991,179.1100
2024-8-21_18:19:5.090880,0.0003,-0.0001,-0.0002,-0.0200,1724235545.0909,401.0783,-198.8993,179.0900
2024-8-21_18:19:5.100906,0.0003,-0.0001,0.0002,0.0200,1724235545.1009,401.0781,-198.8991,179.1100
2024-8-21_18:19:5.108287,0.0000,0.0000,0.0000,0.0000,1724235545.1083,401.0781,-198.8991,179.1100
2024-8-21_18:19:5.110854,0.0001,0.0001,-0.0001,-0.0100,1724235545.1109,401.0782,-198.8992,179.1000
2024-8-21_18:19:5.120876,0.0002,0.0002,-0.0000,0.0000,1724235545.1209,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.128477,0.0000,0.0000,0.0000,0.0000,1724235545.1285,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.130838,0.0003,-0.0003,0.0001,0.0100,1724235545.1308,401.0781,-198.8991,179.1100
2024-8-21_18:19:5.140857,0.0002,0.0001,0.0001,0.0100,1724235545.1409,401.0783,-198.8989,179.1200
2024-8-21_18:19:5.147918,0.0000,0.0000,0.0000,0.0000,1724235545.1479,401.0783,-198.8989,179.1200
2024-8-21_18:19:5.150843,0.0003,0.0001,-0.0002,-0.0200,1724235545.1508,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.160837,0.0000,0.0000,0.0000,0.0000,1724235545.1608,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.167649,0.0000,0.0000,0.0000,0.0000,1724235545.1676,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.170829,0.0001,-0.0001,0.0001,0.0100,1724235545.1708,401.0783,-198.8991,179.1100
2024-8-21_18:19:5.180953,0.0000,0.0000,0.0000,0.0000,1724235545.1810,401.0783,-198.8991,179.1100
2024-8-21_18:19:5.187677,0.0000,0.0000,0.0000,0.0000,1724235545.1877,401.0783,-198.8991,179.1100
2024-8-21_18:19:5.190825,0.0004,0.0002,-0.0004,-0.0300,1724235545.1908,401.0785,-198.8994,179.0800
2024-8-21_18:19:5.200846,0.0004,-0.0003,0.0003,0.0200,1724235545.2008,401.0782,-198.8992,179.1000
2024-8-21_18:19:5.207590,0.0000,0.0000,0.0000,0.0000,1724235545.2076,401.0782,-198.8992,179.1000
2024-8-21_18:19:5.210824,0.0003,0.0001,0.0002,0.0200,1724235545.2108,401.0783,-198.8989,179.1200
2024-8-21_18:19:5.220853,0.0003,-0.0001,-0.0002,-0.0200,1724235545.2209,401.0782,-198.8992,179.1000
2024-8-21_18:19:5.227655,0.0000,0.0000,0.0000,0.0000,1724235545.2277,401.0782,-198.8992,179.1000
2024-8-21_18:19:5.230825,0.0000,0.0000,0.0000,0.0000,1724235545.2308,401.0782,-198.8992,179.1000
2024-8-21_18:19:5.240824,0.0000,0.0000,0.0000,0.0000,1724235545.2408,401.0782,-198.8992,179.1000
2024-8-21_18:19:5.247642,0.0000,0.0000,0.0000,0.0000,1724235545.2476,401.0782,-198.8992,179.1000
2024-8-21_18:19:5.250850,0.0002,0.0001,0.0001,0.0100,1724235545.2508,401.0783,-198.8991,179.1100
