QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 12
100100 399.63 -199.27 0
100101 399.27 -199.63 0
100102 399.27 -200.37 0
100103 399.63 -200.73 0
100104 399.63 -200.37 0
100105 399.63 -199.63 0
100106 400.37 -199.27 0
100107 400.37 -199.63 0
100109 400.37 -200.37 0
100110 400.37 -200.73 0
100111 400.73 -200.37 0
100114 400.73 -199.63 0
QRcodeTable Start
qrcode_table的大小为: 8
100301 311.67 -188.327 -92.264
100302 311.643 -189.351 -91.1349
100303 312.347 -189.361 -91.0547
100315 311.113 -207.294 -90.6139
100327 312.376 -188.377 -91.0937
100336 311.092 -208.29 -91.0267
100337 311.833 -208.319 -90.9734
100338 311.861 -207.317 -90.3825
MV_SC2005AM Start

error: x1 == x2
error: x1 == x2
error: x1 == x2
error: x1 == x2
 init 

2024-8-21_18:24:46.349611,-nan,-nan,-nan,-nan,1724235886.3496,-nan,-nan,-nan
2024-8-21_18:24:46.349650,-nan,-nan,-nan,-nan,1724235886.3496,399.9989,-198.5617,-90.8800
2024-8-21_18:24:46.359748,0.0004,0.0004,0.0002,-0.0300,1724235886.3597,399.9993,-198.5615,-90.9100
2024-8-21_18:24:46.367702,0.0000,0.0000,0.0000,0.0000,1724235886.3677,399.9993,-198.5615,-90.9100
2024-8-21_18:24:46.369686,0.0001,-0.0001,-0.0001,0.0100,1724235886.3697,399.9992,-198.5616,-90.9000
2024-8-21_18:24:46.379732,0.0003,-0.0001,-0.0003,0.0100,1724235886.3797,399.9991,-198.5619,-90.8900
2024-8-21_18:24:46.387613,0.0000,0.0000,0.0000,0.0000,1724235886.3876,399.9991,-198.5619,-90.8900
2024-8-21_18:24:46.389666,0.0004,0.0003,0.0003,-0.0200,1724235886.3897,399.9993,-198.5615,-90.9100
2024-8-21_18:24:46.399703,0.0002,-0.0000,-0.0002,0.0000,1724235886.3997,399.9993,-198.5617,-90.9100
2024-8-21_18:24:46.407681,0.0000,0.0000,0.0000,0.0000,1724235886.4077,399.9993,-198.5617,-90.9100
2024-8-21_18:24:46.409706,0.0003,0.0001,0.0003,-0.0100,1724235886.4097,399.9994,-198.5615,-90.9200
2024-8-21_18:24:46.419711,0.0003,-0.0001,-0.0003,0.0100,1724235886.4197,399.9993,-198.5617,-90.9100
2024-8-21_18:24:46.427632,0.0000,0.0000,0.0000,0.0000,1724235886.4276,399.9993,-198.5617,-90.9100
2024-8-21_18:24:46.429707,0.0002,-0.0001,0.0001,0.0100,1724235886.4297,399.9992,-198.5616,-90.9000
2024-8-21_18:24:46.439785,0.0003,0.0002,0.0001,-0.0200,1724235886.4398,399.9994,-198.5615,-90.9200
2024-8-21_18:24:46.447602,0.0000,0.0000,0.0000,-0.0000,1724235886.4476,399.9994,-198.5615,-90.9200
2024-8-21_18:24:46.449662,0.0003,-0.0001,-0.0003,0.0100,1724235886.4497,399.9993,-198.5617,-90.9100
2024-8-21_18:24:46.459776,0.0002,-0.0001,0.0001,0.0100,1724235886.4598,399.9992,-198.5616,-90.9000
2024-8-21_18:24:46.467767,0.0000,0.0000,0.0000,0.0000,1724235886.4678,399.9992,-198.5616,-90.9000
2024-8-21_18:24:46.469705,0.0003,0.0002,-0.0001,-0.0200,1724235886.4697,399.9994,-198.5617,-90.9200
2024-8-21_18:24:46.479742,0.0003,-0.0002,0.0001,0.0200,1724235886.4797,399.9992,-198.5616,-90.9000
2024-8-21_18:24:46.487812,0.0000,0.0000,0.0000,0.0000,1724235886.4878,399.9992,-198.5616,-90.9000
2024-8-21_18:24:46.489740,0.0002,-0.0000,-0.0002,0.0000,1724235886.4897,399.9992,-198.5618,-90.9000
2024-8-21_18:24:46.499759,0.0001,-0.0001,-0.0001,0.0100,1724235886.4998,399.9991,-198.5619,-90.8900
2024-8-21_18:24:46.507836,0.0000,0.0000,0.0000,0.0000,1724235886.5078,399.9991,-198.5619,-90.8900
