QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 26
100301 0 0 0
100302 1 0 0
100303 1 0.767 0
100304 3 0 0
100305 5 0 0
100306 7 0 0
100307 9 0 0
100308 11 0 0
100312 13 0 0
100313 15 0 0
100314 17 0 0
100315 19 0 0
100326 3 0.771 -90
100327 0 0.765 0
100328 -22.06 -5.032 0
100329 -22.026 -3.699 0
100331 13 0.791 0
100332 11 0.787 0
100333 9 0.783 0
100334 7 0.779 0
100335 5 0.775 0
100336 20 0 0
100337 20 0.805 0
100338 19 0.803 0
100339 17 0.799 0
100340 15 0.795 0
QRcodeTable Start
qrcode_table的大小为: 5
100301 311.63 -188.393 -92.4728
100327 312.397 -188.417 -92.4406
100329 307.938 -166.365 -90.2368
100336 311.007 -208.295 -91.8847
100337 311.848 -208.317 -91.2286
MV_SC2005AM Start

 init 

2024-5-17 17:3:53.2525 100327 0.0484969 | 0.0212121 -0.0436119 0.610325 | 312.043 -187.552 -90.9138 | 312.022 -187.508 -91.5241
2024-5-17 17:3:53.2635 100327 0.0476796 | 0.0237052 -0.0413691 0.436241 | 312.045 -187.565 -91.0838 | 312.021 -187.524 -91.52
2024-5-17 17:3:53.2735 100327 0.0475073 | 0.027473 -0.0387579 0.152402 | 312.048 -187.578 -91.3638 | 312.021 -187.539 -91.5162
2024-5-17 17:3:53.2825 100327 0.0472183 | 0.0295515 -0.0368276 0.00435576 | 312.05 -187.592 -91.5138 | 312.02 -187.555 -91.5182
2024-5-17 17:3:53.2916 100327 0.0532745 | 0.0316134 -0.0428809 -0.171642 | 312.051 -187.606 -91.6938 | 312.02 -187.563 -91.5222
2024-5-17 17:3:53.3025 100327 0.0595195 | 0.0358377 -0.0475208 -0.536389 | 312.055 -187.619 -92.0638 | 312.019 -187.571 -91.5274
2024-5-17 17:3:53.3215 100327 0.0517506 | 0.0476115 -0.0202798 -0.81019 | 312.057 -187.632 -92.2638 | 312.009 -187.612 -91.4536
2024-5-17 17:3:53.3325 100327 0.0528741 | 0.0493055 -0.0190955 -0.969541 | 312.058 -187.647 -92.4338 | 312.009 -187.628 -91.4643
2024-5-17 17:3:53.3415 100327 0.0534955 | 0.0504579 -0.0177698 -1.09841 | 312.059 -187.661 -92.5738 | 312.009 -187.643 -91.4754
2024-5-17 17:3:53.8926 100303 0.0558021 | 0.0393039 -0.0396116 0.113318 | 312.019 -188.543 -91.5138 | 311.98 -188.504 -91.6271
2024-5-17 17:3:53.9026 100303 0.0618937 | 0.0410961 -0.0462811 -0.0310467 | 312.02 -188.558 -91.6538 | 311.979 -188.511 -91.6228
2024-5-17 17:3:53.9115 100303 0.0743923 | 0.0423751 -0.0611438 -0.171047 | 312.022 -188.573 -91.7938 | 311.979 -188.511 -91.6228
2024-5-17 17:3:53.9326 100303 0.0449066 | 0.0399082 -0.0205898 -0.477332 | 312.025 -188.586 -92.1138 | 311.985 -188.566 -91.6365
2024-5-17 17:3:53.9415 100303 0.0475298 | 0.04344 -0.0192884 -0.749244 | 312.028 -188.601 -92.3838 | 311.985 -188.581 -91.6346
