QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.4711 -0.71502 178.953
100321 7.45403 -0.624737 178.79
100322 11.5154 -0.0231631 178.662
100330 7.50464 0.0814448 177.54
MV_SC2005AM Start

 init 

2024-5-18_22:12:55.3207 100317 0.0113654 | -0.00436245 0.0104948 0.537188 | 12.2935 -0.313703 -178.503 | 12.2979 -0.324198 -179.04
2024-5-18_22:12:55.3327 100317 0.00890155 | -0.00283922 0.00843661 0.346942 | 12.2931 -0.316452 -178.693 | 12.2959 -0.324888 -179.04
2024-5-18_22:12:55.3417 100317 0.006814 | -0.00200374 0.00651273 0.217858 | 12.2917 -0.318353 -178.823 | 12.2937 -0.324866 -179.041
2024-5-18_22:12:55.3527 100317 0.00664404 | -0.00198275 0.00634129 0.198663 | 12.2895 -0.318468 -178.843 | 12.2914 -0.324809 -179.041
2024-5-18_22:12:55.3617 100317 0.0064465 | -0.00207286 0.00610414 0.188404 | 12.2872 -0.318657 -178.853 | 12.2893 -0.324761 -179.041
2024-5-18_22:12:55.3727 100317 0.00522518 | -0.00177351 0.00491499 0.107571 | 12.2854 -0.319832 -178.933 | 12.2872 -0.324747 -179.04
2024-5-18_22:12:55.3817 100317 0.00530249 | -0.00206497 0.00488388 0.106437 | 12.2831 -0.319875 -178.933 | 12.2851 -0.324759 -179.039
2024-5-18_22:12:55.3927 100317 0.00528829 | -0.00222408 0.00479787 0.104197 | 12.2809 -0.319915 -178.933 | 12.2832 -0.324713 -179.037
2024-5-18_22:12:55.4017 100317 0.00474099 | -0.00290293 0.00374833 0.0328168 | 12.2793 -0.320935 -179.003 | 12.2822 -0.324683 -179.036
2024-5-18_22:12:55.4127 100317 0.00597501 | -0.00489105 0.00343196 0.0128168 | 12.2773 -0.321251 -179.023 | 12.2822 -0.324683 -179.036
2024-5-18_22:12:55.4217 100317 0.00461131 | 0.00209994 0.00410542 -0.0430298 | 12.2755 -0.321984 -179.073 | 12.2734 -0.326089 -179.03
2024-5-18_22:12:55.4327 100317 0.00391604 | 0.00222885 0.00321987 -0.104027 | 12.2738 -0.322853 -179.133 | 12.2716 -0.326073 -179.029
2024-5-18_22:12:55.4417 100317 0.00377324 | 0.00213834 0.00310884 -0.11456 | 12.272 -0.32302 -179.143 | 12.2698 -0.326129 -179.028
2024-5-18_22:12:55.4527 100317 0.00322285 | 0.00254264 0.00198034 -0.214519 | 12.2707 -0.324217 -179.243 | 12.2682 -0.326198 -179.028
2024-5-18_22:12:55.4617 100317 0.00289559 | 0.00216573 0.00192199 -0.203781 | 12.2688 -0.324321 -179.233 | 12.2666 -0.326243 -179.029
2024-5-18_22:12:55.4727 100317 0.00264288 | 0.0020005 0.00172707 -0.232784 | 12.267 -0.324544 -179.263 | 12.265 -0.326271 -179.03
2024-5-18_22:12:55.4817 100317 0.00265724 | 0.00161672 0.00210883 -0.202442 | 12.2651 -0.324153 -179.233 | 12.2635 -0.326262 -179.03
2024-5-18_22:12:55.4897 100317 0.00233377 | 0.00161726 0.00168255 -0.232388 | 12.2636 -0.324587 -179.263 | 12.262 -0.32627 -179.03
2024-5-18_22:12:55.5127 100317 0.00134119 | 0.000712579 0.00113624 -0.272511 | 12.262 -0.32516 -179.303 | 12.2613 -0.326296 -179.03
2024-5-18_22:12:55.5237 100317 0.00868131 | 0.00839299 0.00221873 -0.26471 | 12.2604 -0.325041 -179.293 | 12.2521 -0.32726 -179.028
2024-5-18_22:12:55.5327 100317 0.00841611 | 0.00815115 0.00209514 -0.275817 | 12.2588 -0.325199 -179.303 | 12.2507 -0.327294 -179.027
2024-5-18_22:12:55.5427 100317 0.00859224 | 0.00857392 0.000560679 -0.387497 | 12.2579 -0.326718 -179.413 | 12.2493 -0.327279 -179.025
2024-5-18_22:12:55.5527 100317 0.00834502 | 0.0083181 0.000669728 -0.378876 | 12.2563 -0.326597 -179.403 | 12.248 -0.327267 -179.024
2024-5-18_22:12:55.5617 100317 0.00816644 | 0.00815016 0.000515402 -0.389997 | 12.2549 -0.326749 -179.413 | 12.2467 -0.327264 -179.023
2024-5-18_22:12:55.5727 100317 0.00804652 | 0.0080461 8.21129e-05 -0.420994 | 12.2536 -0.32717 -179.443 | 12.2455 -0.327253 -179.022
2024-5-18_22:12:55.5817 100317 0.00749806 | 0.00748321 0.000471795 -0.390953 | 12.2519 -0.326779 -179.413 | 12.2444 -0.327251 -179.022
2024-5-18_22:12:55.5927 100317 0.00853217 | 0.00835948 -0.00170796 -0.550529 | 12.2517 -0.328954 -179.573 | 12.2433 -0.327246 -179.022
2024-5-18_22:12:55.6017 100317 0.00697469 | 0.00693048 -0.000784083 -0.480447 | 12.2497 -0.328021 -179.503 | 12.2428 -0.327237 -179.022
2024-5-18_22:12:55.6129 100317 0.00607195 | 0.00592361 -0.00133391 -0.520447 | 12.2487 -0.328571 -179.543 | 12.2428 -0.327237 -179.022
2024-5-18_22:12:55.6217 100317 0.00473865 | 0.00458167 -0.0012096 -0.510447 | 12.2474 -0.328446 -179.533 | 12.2428 -0.327237 -179.022
2024-5-18_22:12:55.6327 100317 0.00835395 | 0.00834126 -0.000460272 -0.549778 | 12.2464 -0.328777 -179.573 | 12.238 -0.328317 -179.023
2024-5-18_22:12:55.6417 100317 0.00827813 | 0.00823803 -0.000813824 -0.560775 | 12.2454 -0.329136 -179.583 | 12.2372 -0.328322 -179.022
2024-5-18_22:12:55.6527 100317 0.00826323 | 0.00820145 -0.0010086 -0.591882 | 12.2445 -0.329329 -179.613 | 12.2363 -0.32832 -179.021
2024-5-18_22:12:55.6617 100317 0.00797837 | 0.00791431 -0.00100899 -0.593275 | 12.2435 -0.329336 -179.613 | 12.2356 -0.328327 -179.019
2024-5-18_22:12:55.6707 100317 0.00798012 | 0.00783235 -0.00152855 -0.634477 | 12.2427 -0.329878 -179.653 | 12.2348 -0.328349 -179.018
2024-5-18_22:12:55.6817 100317 0.0074611 | 0.00739517 -0.000989672 -0.594996 | 12.2416 -0.329349 -179.613 | 12.2342 -0.328359 -179.018
2024-5-18_22:12:55.6927 100317 0.00758766 | 0.00742938 -0.00154169 -0.634955 | 12.241 -0.329888 -179.653 | 12.2335 -0.328346 -179.018
2024-5-18_22:12:55.7017 100317 0.00712303 | 0.0069227 -0.00167743 -0.644682 | 12.2402 -0.330027 -179.663 | 12.2333 -0.328349 -179.018
