QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.4711 -0.71502 178.953
100321 7.45403 -0.624737 178.79
100322 11.5154 -0.0231631 178.662
100330 7.50464 0.0814448 177.54
MV_SC2005AM Start

 init 

2024-5-18_22:5:48.2338 100317 0.0179955 | -0.0179039 0.00181333 0.0216569 | 12.3274 -0.420774 175.737 | 12.3453 -0.422588 175.716
2024-5-18_22:5:48.2428 100317 0.0188611 | -0.0183525 0.00435053 0.17883 | 12.3155 -0.417679 175.907 | 12.3339 -0.42203 175.728
2024-5-18_22:5:48.2538 100317 0.0177308 | -0.0175784 0.00231978 0.0383933 | 12.3049 -0.419186 175.777 | 12.3225 -0.421506 175.739
2024-5-18_22:5:48.2618 100317 0.0166944 | -0.0166387 -0.00136233 -0.240486 | 12.2944 -0.422375 175.507 | 12.3111 -0.421013 175.748
2024-5-18_22:5:48.2728 100317 0.016841 | -0.0167867 -0.0013508 -0.26166 | 12.2828 -0.421816 175.497 | 12.2996 -0.420465 175.759
2024-5-18_22:5:48.2819 100317 0.0168229 | -0.0161689 -0.00464529 -0.506263 | 12.2719 -0.424486 175.267 | 12.288 -0.419841 175.774
2024-5-18_22:5:48.2929 100317 0.0171843 | -0.0154502 -0.00752291 -0.744964 | 12.2611 -0.426729 175.047 | 12.2765 -0.419206 175.792
2024-5-18_22:5:48.3018 100317 0.0226089 | -0.0205367 -0.00945549 -0.935032 | 12.2501 -0.428346 174.867 | 12.2706 -0.41889 175.802
2024-5-18_22:5:48.3128 100317 0.0337688 | -0.0319406 -0.0109606 -1.11503 | 12.2387 -0.429851 174.687 | 12.2706 -0.41889 175.802
2024-5-18_22:5:48.3219 100317 0.0218274 | -0.0129257 -0.0175887 -1.39508 | 12.2276 -0.43191 174.477 | 12.2406 -0.414322 175.872
2024-5-18_22:5:48.3328 100317 0.0233473 | -0.0131274 -0.0193072 -1.56934 | 12.2159 -0.432853 174.327 | 12.229 -0.413546 175.897
