QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 0
MV_SC2005AM Start

 init 

2024-5-19_11:55:54.1254 100330 0.0487482 | 0.026231 -0.0410892 1.65555 | 6.66783 -0.243126 -0.302697 | 6.6416 -0.202037 -1.95825
2024-5-19_11:55:54.1454 100330 0.0445257 | 0.0243962 -0.0372473 1.39662 | 6.67172 -0.239202 -0.562697 | 6.64733 -0.201954 -1.95932
2024-5-19_11:55:54.1554 100330 0.0452787 | 0.0247226 -0.0379335 1.45599 | 6.67481 -0.239872 -0.502697 | 6.65009 -0.201938 -1.95869
2024-5-19_11:55:54.1654 100330 0.0450705 | 0.0245388 -0.0378047 1.44604 | 6.67731 -0.239751 -0.512697 | 6.65277 -0.201947 -1.95874
2024-5-19_11:55:54.1754 100330 0.0425397 | 0.0235831 -0.0354042 1.27657 | 6.67894 -0.237353 -0.682697 | 6.65536 -0.201948 -1.95927
2024-5-19_11:55:54.1854 100330 0.0425329 | 0.0246427 -0.0346667 1.23713 | 6.68128 -0.236598 -0.722697 | 6.65663 -0.201931 -1.95982
2024-5-19_11:55:54.1954 100330 0.044374 | 0.0273002 -0.0349822 1.25713 | 6.68393 -0.236913 -0.702697 | 6.65663 -0.201931 -1.95982
2024-5-19_11:55:54.2054 100330 0.040858 | 0.0221318 -0.0343447 1.21228 | 6.68595 -0.236094 -0.762697 | 6.66382 -0.20175 -1.97497
2024-5-19_11:55:54.2154 100330 0.039791 | 0.0219581 -0.0331838 1.14405 | 6.68813 -0.234925 -0.832697 | 6.66617 -0.201742 -1.97675
2024-5-19_11:55:54.2254 100330 0.038716 | 0.0214302 -0.032244 1.07602 | 6.68988 -0.233972 -0.902697 | 6.66845 -0.201728 -1.97872
2024-5-19_11:55:54.2354 100330 0.0381372 | 0.0213042 -0.0316318 1.02829 | 6.69195 -0.233308 -0.952697 | 6.67064 -0.201676 -1.98099
2024-5-19_11:55:54.2434 100330 0.0371458 | 0.0210874 -0.03058 0.949301 | 6.69386 -0.232227 -1.0327 | 6.67277 -0.201647 -1.982
2024-5-19_11:55:54.2554 100330 0.0379428 | 0.0213823 -0.0313441 0.999544 | 6.69625 -0.232963 -0.982697 | 6.67487 -0.201619 -1.98224
2024-5-19_11:55:54.2634 100330 0.0368997 | 0.0211419 -0.0302424 0.929883 | 6.69801 -0.231809 -1.0527 | 6.67687 -0.201567 -1.98258
2024-5-19_11:55:54.2754 100330 0.0363365 | 0.0210399 -0.0296254 0.880705 | 6.69987 -0.231154 -1.1027 | 6.67883 -0.201528 -1.9834
2024-5-19_11:55:54.2854 100330 0.0362262 | 0.0217164 -0.0289954 0.831162 | 6.70152 -0.230498 -1.1527 | 6.6798 -0.201502 -1.98386
2024-5-19_11:55:54.2954 100330 0.0375713 | 0.0238409 -0.0290382 0.831162 | 6.70364 -0.23054 -1.1527 | 6.6798 -0.201502 -1.98386
2024-5-19_11:55:54.3054 100330 0.0318844 | 0.0174451 -0.0266886 0.749589 | 6.70518 -0.229613 -1.2227 | 6.68774 -0.202925 -1.97229
2024-5-19_11:55:54.3154 100330 0.0316412 | 0.0175009 -0.0263607 0.718964 | 6.70715 -0.229246 -1.2527 | 6.68965 -0.202885 -1.97166
2024-5-19_11:55:54.3234 100330 0.0303016 | 0.0170298 -0.0250634 0.61805 | 6.70854 -0.227915 -1.3527 | 6.69151 -0.202851 -1.97075
2024-5-19_11:55:54.3394 100330 0.0301002 | 0.015572 -0.0257592 0.656801 | 6.71066 -0.228508 -1.3127 | 6.69509 -0.202749 -1.9695
2024-5-19_11:55:54.3544 100330 0.0288285 | 0.0149977 -0.0246202 0.566945 | 6.71189 -0.227316 -1.4027 | 6.69689 -0.202696 -1.96964
2024-5-19_11:55:54.3644 100330 0.0270132 | 0.0144658 -0.0228134 0.427283 | 6.71307 -0.225452 -1.5427 | 6.69861 -0.202638 -1.96998
2024-5-19_11:55:54.3754 100330 0.0285132 | 0.0151653 -0.0241457 0.517141 | 6.71545 -0.226729 -1.4527 | 6.70029 -0.202583 -1.96984
2024-5-19_11:55:54.3844 100330 0.0276069 | 0.0156743 -0.0227257 0.407022 | 6.71679 -0.225283 -1.5627 | 6.70112 -0.202557 -1.96972
2024-5-19_11:55:54.3944 100330 0.0276696 | 0.0170115 -0.0218224 0.337022 | 6.71813 -0.22438 -1.6327 | 6.70112 -0.202557 -1.96972
2024-5-19_11:55:54.4054 100330 0.0251785 | 0.0139307 -0.0209736 0.322087 | 6.72004 -0.224434 -1.6327 | 6.70611 -0.20346 -1.95478
2024-5-19_11:55:54.4134 100330 0.0236324 | 0.0132804 -0.0195479 0.191367 | 6.72107 -0.222942 -1.7627 | 6.70778 -0.203395 -1.95406
2024-5-19_11:55:54.4254 100330 0.0242593 | 0.0135898 -0.0200956 0.240555 | 6.72303 -0.223452 -1.7127 | 6.70944 -0.203357 -1.95325
2024-5-19_11:55:54.4334 100330 0.0240452 | 0.0136933 -0.0197652 0.209641 | 6.72479 -0.223106 -1.7427 | 6.71109 -0.203341 -1.95234
2024-5-19_11:55:54.4454 100330 0.0215192 | 0.0127867 -0.0173082 0.018347 | 6.72551 -0.220606 -1.9327 | 6.71272 -0.203297 -1.95104
2024-5-19_11:55:54.4534 100330 0.0213533 | 0.0127382 -0.0171376 -0.00275926 | 6.72711 -0.220395 -1.9527 | 6.71437 -0.203257 -1.94994
2024-5-19_11:55:54.4654 100330 0.0224343 | 0.01316 -0.018169 0.0671003 | 6.72916 -0.221389 -1.8827 | 6.716 -0.20322 -1.9498
2024-5-19_11:55:54.4734 100330 0.0225492 | 0.0133495 -0.018173 0.0581118 | 6.73103 -0.221319 -1.8927 | 6.71768 -0.203146 -1.95081
2024-5-19_11:55:54.4854 100330 0.0208501 | 0.0132014 -0.0161384 -0.101238 | 6.7317 -0.219236 -2.0527 | 6.7185 -0.203097 -1.95146
2024-5-19_11:55:54.4934 100330 0.0210874 | 0.0145456 -0.0152678 -0.171238 | 6.73304 -0.218365 -2.1227 | 6.7185 -0.203097 -1.95146
2024-5-19_11:55:54.5054 100330 0.0219533 | 0.0160927 -0.0149324 -0.201238 | 6.73459 -0.21803 -2.1527 | 6.7185 -0.203097 -1.95146
2024-5-19_11:55:54.5134 100330 0.0171252 | 0.00722776 -0.0155252 -0.203762 | 6.73645 -0.217969 -2.1627 | 6.72922 -0.202444 -1.95893
2024-5-19_11:55:54.5254 100330 0.0169842 | 0.0071499 -0.0154059 -0.223906 | 6.73805 -0.217769 -2.1827 | 6.7309 -0.202363 -1.95879
2024-5-19_11:55:54.5334 100330 0.0159803 | 0.00678688 -0.0144675 -0.303853 | 6.73934 -0.216778 -2.2627 | 6.73255 -0.20231 -1.95884
2024-5-19_11:55:54.5444 100330 0.0162508 | 0.00689606 -0.0147151 -0.293608 | 6.74109 -0.216977 -2.2527 | 6.73419 -0.202262 -1.95909
2024-5-19_11:55:54.5534 100330 0.0164146 | 0.00696158 -0.0148652 -0.293173 | 6.74279 -0.217044 -2.2527 | 6.73583 -0.202178 -1.95952
2024-5-19_11:55:54.5655 100330 0.0165713 | 0.00701994 -0.0150109 -0.292641 | 6.74449 -0.21711 -2.2527 | 6.73747 -0.202099 -1.96006
2024-5-19_11:55:54.5734 100330 0.015641 | 0.00694386 -0.0140151 -0.362108 | 6.74606 -0.216053 -2.3227 | 6.73911 -0.202038 -1.96059
2024-5-19_11:55:54.5854 100330 0.0154286 | 0.00753386 -0.0134641 -0.412032 | 6.7475 -0.21547 -2.3727 | 6.73997 -0.202006 -1.96067
