QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.5016 -0.710874 177.568
100321 7.48816 -0.614727 177.653
100322 11.5274 -0.0232202 -179.926
100330 7.48749 0.0878111 177.071
MV_SC2005AM Start

 init 

2024-5-19_12:0:20.948 100330 0.0753863 | 0.0694305 -0.0293685 1.46777 | 6.69577 -0.286327 1.53887 | 6.62634 -0.256958 0.0711057
2024-5-19_12:0:20.971 100330 0.0628396 | 0.0567597 -0.0269658 1.3193 | 6.70456 -0.283604 1.34887 | 6.6478 -0.256639 0.0295773
2024-5-19_12:0:20.981 100330 0.0591522 | 0.0544122 -0.0232011 1.06289 | 6.71301 -0.279688 1.06887 | 6.6586 -0.256487 0.00597897
2024-5-19_12:0:20.991 100330 0.0667026 | 0.0634371 -0.0206147 0.872894 | 6.72203 -0.277102 0.878873 | 6.6586 -0.256487 0.00597897
2024-5-19_12:0:21.001 100330 0.0740137 | 0.0721614 -0.0164547 0.562894 | 6.73076 -0.272942 0.568873 | 6.6586 -0.256487 0.00597897
2024-5-19_12:0:21.01 100330 0.0444416 | 0.0431421 -0.0106682 0.4247 | 6.73987 -0.269694 0.318873 | 6.69672 -0.259025 -0.105827
2024-5-19_12:0:21.018 100330 0.0429604 | 0.0420746 -0.00867908 0.291786 | 6.74959 -0.267644 0.168873 | 6.70751 -0.258964 -0.122914
2024-5-19_12:0:21.029 100330 0.040506 | 0.0401817 -0.00511565 0.0180295 | 6.75848 -0.264027 -0.121127 | 6.7183 -0.258911 -0.139157
2024-5-19_12:0:21.038 100330 0.0396663 | 0.0394812 -0.00382706 -0.0880068 | 6.7686 -0.262713 -0.241127 | 6.72912 -0.258886 -0.153121
2024-5-19_12:0:21.049 100330 0.0379722 | 0.0379685 -0.000527216 -0.335633 | 6.77791 -0.259438 -0.501127 | 6.73994 -0.258911 -0.165494
2024-5-19_12:0:21.061 100330 0.0365811 | 0.0365162 0.00217824 -0.562256 | 6.78734 -0.256723 -0.741127 | 6.75082 -0.258902 -0.178872
2024-5-19_12:0:21.069 100330 0.03574 | 0.0354862 0.00425214 -0.748185 | 6.79723 -0.254595 -0.941127 | 6.76174 -0.258847 -0.192943
2024-5-19_12:0:21.08 100330 0.034913 | 0.0341503 0.00725804 -1.01505 | 6.80687 -0.251562 -1.22113 | 6.77272 -0.25882 -0.206074
2024-5-19_12:0:21.089 100330 0.0451265 | 0.0444081 0.00802013 -1.11505 | 6.81713 -0.2508 -1.32113 | 6.77272 -0.25882 -0.206074
2024-5-19_12:0:21.81 100325 0.053556 | 0.044794 -0.0293555 0.94942 | 7.69412 -0.288641 0.00887262 | 7.64932 -0.259286 -0.940547
2024-5-19_12:0:21.821 100325 0.0480269 | 0.0419083 -0.023458 0.547268 | 7.7036 -0.282876 -0.401127 | 7.6617 -0.259418 -0.948396
2024-5-19_12:0:21.831 100325 0.044326 | 0.0398563 -0.0193978 0.269643 | 7.71382 -0.278933 -0.691127 | 7.67397 -0.259535 -0.96077
2024-5-19_12:0:21.839 100325 0.0395548 | 0.0370714 -0.0137948 -0.146048 | 7.72326 -0.273397 -1.12113 | 7.68619 -0.259602 -0.975079
2024-5-19_12:0:21.848 100325 0.0372452 | 0.0356589 -0.0107538 -0.368614 | 7.73408 -0.270521 -1.35113 | 7.69842 -0.259767 -0.982514
2024-5-19_12:0:21.859 100325 0.0346701 | 0.0339747 -0.00690909 -0.655562 | 7.74456 -0.266935 -1.64113 | 7.71059 -0.260026 -0.985565
2024-5-19_12:0:21.871 100325 0.0325377 | 0.032332 -0.00365294 -0.921188 | 7.75517 -0.263945 -1.91113 | 7.72284 -0.260292 -0.989939
2024-5-19_12:0:21.879 100325 0.0307314 | 0.0307295 -0.000333268 -1.18442 | 7.76601 -0.260852 -2.18113 | 7.73528 -0.260519 -0.996708
2024-5-19_12:0:21.889 100325 0.0359616 | 0.0359238 0.00164853 -1.38118 | 7.77745 -0.25899 -2.38113 | 7.74152 -0.260639 -0.999952
2024-5-19_12:0:21.899 100325 0.0470897 | 0.0468338 0.00490286 -1.68118 | 7.78836 -0.255736 -2.68113 | 7.74152 -0.260639 -0.999952
2024-5-19_12:0:21.911 100325 0.0293908 | 0.0285507 0.00697686 -2.01255 | 7.799 -0.252685 -2.99113 | 7.77045 -0.259662 -0.978577
2024-5-19_12:0:21.921 100325 0.0288044 | 0.0274402 0.00875954 -2.21691 | 7.81018 -0.251198 -3.20113 | 7.78274 -0.259957 -0.984219
2024-5-19_12:0:22.601 100324 0.0584396 | 0.0491578 -0.0316022 1.64706 | 8.69624 -0.322305 0.308873 | 8.64708 -0.290702 -1.33818
2024-5-19_12:0:22.61 100324 0.0639381 | 0.0588684 -0.0249518 1.17706 | 8.70595 -0.315654 -0.161127 | 8.64708 -0.290702 -1.33818
2024-5-19_12:0:22.619 100324 0.0720298 | 0.0693134 -0.0195946 0.787056 | 8.71639 -0.310297 -0.551127 | 8.64708 -0.290702 -1.33818
2024-5-19_12:0:22.631 100324 0.0824464 | 0.0807171 -0.0167972 0.557056 | 8.7278 -0.3075 -0.781127 | 8.64708 -0.290702 -1.33818
2024-5-19_12:0:22.639 100324 0.0419815 | 0.0413152 -0.0074496 0.327947 | 8.7388 -0.303107 -1.12113 | 8.69748 -0.295657 -1.44907
2024-5-19_12:0:22.648 100324 0.0394914 | 0.0393492 -0.00334897 0.0266375 | 8.74983 -0.299381 -1.42113 | 8.71048 -0.296032 -1.44776
2024-5-19_12:0:22.659 100324 0.0377858 | 0.0377826 0.000493648 -0.26686 | 8.76115 -0.295917 -1.71113 | 8.72337 -0.296411 -1.44427
2024-5-19_12:0:22.668 100324 0.0360303 | 0.0355363 0.00594601 -0.707679 | 8.77186 -0.290869 -2.15113 | 8.73633 -0.296815 -1.44345
2024-5-19_12:0:22.679 100324 0.0355286 | 0.034611 0.00802265 -0.875122 | 8.78388 -0.289203 -2.32113 | 8.74927 -0.297226 -1.44601
2024-5-19_12:0:22.691 100324 0.0469217 | 0.0451516 0.0127661 -1.31512 | 8.79442 -0.28446 -2.76113 | 8.74927 -0.297226 -1.44601
2024-5-19_12:0:22.699 100324 0.0587529 | 0.05675 0.0152098 -1.56512 | 8.80602 -0.282016 -3.01113 | 8.74927 -0.297226 -1.44601
2024-5-19_12:0:23.361 100323 0.0614795 | 0.0567597 -0.0236235 1.37468 | 9.68594 -0.343688 -0.0411274 | 9.62918 -0.320064 -1.41581
2024-5-19_12:0:23.371 100323 0.05704 | 0.0538827 -0.018714 1.06359 | 9.69599 -0.339083 -0.351127 | 9.64211 -0.320369 -1.41472
2024-5-19_12:0:23.379 100323 0.0527689 | 0.0511097 -0.0131283 0.682021 | 9.70609 -0.333837 -0.731127 | 9.65498 -0.320709 -1.41315
2024-5-19_12:0:23.388 100323 0.0622143 | 0.0615799 -0.008862 0.362021 | 9.71656 -0.329571 -1.05113 | 9.65498 -0.320709 -1.41315
2024-5-19_12:0:23.399 100323 0.0398934 | 0.0398657 -0.00148697 -0.0206836 | 9.72719 -0.32476 -1.42113 | 9.68732 -0.323273 -1.40044
2024-5-19_12:0:23.415 100323 0.0254924 | 0.0253881 0.00230429 -0.264057 | 9.73842 -0.321978 -1.65113 | 9.71304 -0.324282 -1.38707
2024-5-19_12:0:23.43 100323 0.0240697 | 0.0229548 0.0072407 -0.633075 | 9.74873 -0.317559 -2.01113 | 9.72578 -0.3248 -1.37805
2024-5-19_12:0:23.44 100323 0.0237482 | 0.0214966 0.0100933 -0.85446 | 9.7601 -0.315254 -2.22113 | 9.7386 -0.325348 -1.36667
2024-5-19_12:0:23.45 100323 0.0241983 | 0.0197739 0.0139482 -1.1643 | 9.7712 -0.311887 -2.52113 | 9.75142 -0.325835 -1.35683
2024-5-19_12:0:23.46 100323 0.0247773 | 0.0185397 0.0164376 -1.373 | 9.78285 -0.309913 -2.72113 | 9.76431 -0.326351 -1.34812
2024-5-19_12:0:23.47 100323 0.0267657 | 0.0161995 0.0213068 -1.7932 | 9.79337 -0.305618 -3.13113 | 9.77717 -0.326925 -1.33793
