QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.5016 -0.710874 177.568
100321 7.48816 -0.614727 177.653
100322 11.5274 -0.0232202 -179.926
100330 7.48749 0.0878111 177.071
MV_SC2005AM Start

 init 

2024-5-19_12:1:50.3697 100330 0.0466611 | 0.0294481 -0.0361948 1.74274 | 6.67857 -0.235094 -0.971127 | 6.64912 -0.198899 -2.71387
2024-5-19_12:1:50.3797 100330 0.0429262 | 0.0279046 -0.0326189 1.51238 | 6.67839 -0.231558 -1.20113 | 6.65049 -0.198939 -2.71351
2024-5-19_12:1:50.3897 100330 0.0447969 | 0.029398 -0.0338012 1.59238 | 6.67989 -0.23274 -1.12113 | 6.65049 -0.198939 -2.71351
2024-5-19_12:1:50.4097 100330 0.0411922 | 0.026465 -0.0315658 1.51566 | 6.68079 -0.231752 -1.19113 | 6.65432 -0.200186 -2.70678
2024-5-19_12:1:50.4197 100330 0.0409891 | 0.0261907 -0.0315302 1.51549 | 6.68185 -0.231774 -1.19113 | 6.65566 -0.200243 -2.70662
2024-5-19_12:1:50.4297 100330 0.0399039 | 0.0256143 -0.0305978 1.45513 | 6.68259 -0.230929 -1.25113 | 6.65697 -0.200331 -2.70625
2024-5-19_12:1:50.4397 100330 0.041404 | 0.0262256 -0.0320392 1.57438 | 6.68451 -0.232471 -1.13113 | 6.65829 -0.200432 -2.70551
2024-5-19_12:1:50.4497 100330 0.0392882 | 0.0252602 -0.0300912 1.44334 | 6.68488 -0.230619 -1.26113 | 6.65962 -0.200528 -2.70447
2024-5-19_12:1:50.4598 100330 0.039782 | 0.0254035 -0.0306149 1.48338 | 6.68637 -0.231223 -1.22113 | 6.66096 -0.200608 -2.70451
2024-5-19_12:1:50.4687 100330 0.0394801 | 0.0251355 -0.0304448 1.47368 | 6.68737 -0.231102 -1.23113 | 6.66224 -0.200657 -2.70481
2024-5-19_12:1:50.4777 100330 0.0385619 | 0.0246244 -0.0296758 1.42323 | 6.68817 -0.230407 -1.28113 | 6.66354 -0.200731 -2.70435
2024-5-19_12:1:50.4887 100330 0.0386944 | 0.0256315 -0.0289877 1.37323 | 6.68917 -0.229719 -1.33113 | 6.66354 -0.200731 -2.70435
2024-5-19_12:1:50.4977 100330 0.0398071 | 0.0263641 -0.0298251 1.43295 | 6.69056 -0.230602 -1.27113 | 6.66419 -0.200777 -2.70408
2024-5-19_12:1:50.5087 100330 0.0407237 | 0.0274321 -0.0300982 1.37132 | 6.6913 -0.229768 -1.33113 | 6.66387 -0.19967 -2.70244
2024-5-19_12:1:50.5177 100330 0.0411588 | 0.0275889 -0.0305433 1.40153 | 6.69273 -0.230226 -1.30113 | 6.66515 -0.199683 -2.70266
2024-5-19_12:1:50.5287 100330 0.0396528 | 0.0270075 -0.0290333 1.29127 | 6.69342 -0.228687 -1.41113 | 6.66641 -0.199654 -2.70239
2024-5-19_12:1:50.5377 100330 0.0391105 | 0.026612 -0.0286606 1.261 | 6.69432 -0.228286 -1.44113 | 6.66771 -0.199625 -2.70213
2024-5-19_12:1:50.5487 100330 0.0399583 | 0.0269594 -0.0294934 1.33074 | 6.69598 -0.229097 -1.37113 | 6.66902 -0.199603 -2.70186
2024-5-19_12:1:50.5577 100330 0.038501 | 0.0261561 -0.0282522 1.23095 | 6.6965 -0.227918 -1.47113 | 6.67034 -0.199666 -2.70208
2024-5-19_12:1:50.5687 100330 0.0381167 | 0.0260656 -0.0278112 1.22107 | 6.69773 -0.227593 -1.48113 | 6.67166 -0.199781 -2.7022
2024-5-19_12:1:50.5787 100330 0.0374851 | 0.0256568 -0.0273287 1.191 | 6.69863 -0.227195 -1.51113 | 6.67297 -0.199866 -2.70212
2024-5-19_12:1:50.5877 100330 0.0385167 | 0.026825 -0.0276397 1.211 | 6.6998 -0.227506 -1.49113 | 6.67297 -0.199866 -2.70212
2024-5-19_12:1:50.5977 100330 0.0377713 | 0.0270355 -0.0263771 1.14259 | 6.70044 -0.226403 -1.57113 | 6.6734 -0.200026 -2.71372
2024-5-19_12:1:50.6087 100330 0.0369271 | 0.0267367 -0.0254707 1.08271 | 6.70139 -0.225591 -1.63113 | 6.67466 -0.20012 -2.71384
2024-5-19_12:1:50.6177 100330 0.0372267 | 0.0269065 -0.0257268 1.10177 | 6.70278 -0.225909 -1.61113 | 6.67587 -0.200182 -2.7129
2024-5-19_12:1:50.6287 100330 0.0368143 | 0.0266375 -0.0254113 1.08131 | 6.70373 -0.225657 -1.63113 | 6.67709 -0.200246 -2.71244
2024-5-19_12:1:50.6377 100330 0.035761 | 0.0261054 -0.0244409 1.01009 | 6.70442 -0.224703 -1.70113 | 6.67832 -0.200262 -2.71122
2024-5-19_12:1:50.6487 100330 0.0355328 | 0.0259032 -0.0243229 0.999147 | 6.70543 -0.224594 -1.71113 | 6.67953 -0.200271 -2.71027
2024-5-19_12:1:50.6577 100330 0.0352177 | 0.0258489 -0.0239191 0.970039 | 6.70655 -0.224211 -1.74113 | 6.6807 -0.200292 -2.71117
2024-5-19_12:1:50.6687 100330 0.0348428 | 0.0256195 -0.0236149 0.951317 | 6.70751 -0.223963 -1.76113 | 6.68189 -0.200348 -2.71244
