QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.5205 -0.706748 17.9628
100321 7.52244 -0.618121 178.971
100322 11.5445 -0.02752 179.389
100330 7.52732 0.0835403 179.26
MV_SC2005AM Start

 init 

2024-5-19_13:33:31.5259 100330 0.0457878 | 0.0354433 -0.028988 1.4312 | 6.71064 -0.320508 3.89939 | 6.6752 -0.29152 2.46819
2024-5-19_13:33:31.547 100330 0.0452181 | 0.0334923 -0.0303799 1.54862 | 6.71345 -0.321802 3.99939 | 6.67996 -0.291422 2.45077
2024-5-19_13:33:31.557 100330 0.0445762 | 0.0331329 -0.0298204 1.52704 | 6.71536 -0.321224 3.96939 | 6.68223 -0.291403 2.44235
2024-5-19_13:33:31.5669 100330 0.0433682 | 0.032488 -0.0287286 1.45479 | 6.71695 -0.320147 3.88939 | 6.68446 -0.291418 2.4346
2024-5-19_13:33:31.577 100330 0.0420615 | 0.0317489 -0.0275894 1.39257 | 6.71838 -0.319017 3.81939 | 6.68663 -0.291427 2.42682
2024-5-19_13:33:31.587 100330 0.0419367 | 0.0317597 -0.0273862 1.40033 | 6.7205 -0.318875 3.81939 | 6.68874 -0.291489 2.41907
2024-5-19_13:33:31.597 100330 0.0409526 | 0.0311649 -0.026568 1.34692 | 6.72201 -0.31811 3.75939 | 6.69085 -0.291542 2.41248
2024-5-19_13:33:31.607 100330 0.0409576 | 0.0317537 -0.0258694 1.30963 | 6.72365 -0.317416 3.71939 | 6.69189 -0.291547 2.40977
2024-5-19_13:33:31.617 100330 0.040864 | 0.0322936 -0.0250397 1.26256 | 6.72521 -0.316583 3.66939 | 6.69292 -0.291544 2.40684
2024-5-19_13:33:31.6249 100330 0.0420399 | 0.034012 -0.024709 1.23256 | 6.72693 -0.316253 3.63939 | 6.69292 -0.291544 2.40684
2024-5-19_13:33:31.637 100330 0.0427055 | 0.0311225 -0.0292429 1.23326 | 6.72864 -0.315708 3.60939 | 6.69751 -0.286465 2.37614
