QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.4886 -0.705484 179.147
100321 7.4656 -0.607814 -179.655
100322 11.4975 -0.0233727 179.512
100330 7.47142 0.0872711 178.607
MV_SC2005AM Start

 init 

2024-5-19_13:43:51.8554 100330 0.0287057 | 0.0236336 -0.0162933 0.804 | 6.7993 -0.435226 14.9621 | 6.77566 -0.418933 14.1581
2024-5-19_13:43:51.8654 100330 0.0283949 | 0.023181 -0.0163985 0.817026 | 6.80037 -0.434955 14.9321 | 6.77719 -0.418556 14.1151
2024-5-19_13:43:51.8754 100330 0.028694 | 0.0230464 -0.0170941 0.85844 | 6.80177 -0.435254 14.9321 | 6.77872 -0.41816 14.0737
2024-5-19_13:43:51.8854 100330 0.029116 | 0.0230162 -0.0178324 0.919169 | 6.80329 -0.435584 14.9521 | 6.78028 -0.417752 14.033
2024-5-19_13:43:51.8944 100330 0.0277165 | 0.0218178 -0.0170935 0.841466 | 6.80362 -0.434447 14.8321 | 6.7818 -0.417353 13.9907
2024-5-19_13:43:51.9044 100330 0.0286497 | 0.0225916 -0.0176189 0.883137 | 6.80514 -0.434778 14.8521 | 6.78255 -0.417159 13.969
2024-5-19_13:43:51.9154 100330 0.0264721 | 0.0212465 -0.0157911 0.704741 | 6.80454 -0.432744 14.6521 | 6.78329 -0.416953 13.9474
2024-5-19_13:43:51.9244 100330 0.0260285 | 0.0198399 -0.0168482 0.961979 | 6.80624 -0.433319 14.6921 | 6.7864 -0.41647 13.7302
2024-5-19_13:43:51.9344 100330 0.0261675 | 0.0195636 -0.0173783 0.993488 | 6.80755 -0.433505 14.6821 | 6.78799 -0.416126 13.6887
2024-5-19_13:43:51.9444 100330 0.0237885 | 0.0178035 -0.0157774 0.864313 | 6.80737 -0.431577 14.5121 | 6.78957 -0.4158 13.6478
2024-5-19_13:43:51.9544 100330 0.0236277 | 0.017341 -0.0160487 0.873025 | 6.8085 -0.43153 14.4821 | 6.79116 -0.415482 13.6091
2024-5-19_13:43:51.9644 100330 0.0228263 | 0.0165554 -0.0157149 0.852471 | 6.80931 -0.430918 14.4221 | 6.79276 -0.415204 13.5697
2024-5-19_13:43:51.9744 100330 0.0227055 | 0.0161003 -0.01601 0.864544 | 6.81044 -0.430875 14.3921 | 6.79434 -0.414865 13.5276
2024-5-19_13:43:51.9844 100330 0.0217189 | 0.0151703 -0.0155426 0.827656 | 6.81107 -0.43003 14.3121 | 6.7959 -0.414487 13.4845
2024-5-19_13:43:51.9944 100330 0.0212383 | 0.0144613 -0.0155543 0.811126 | 6.81193 -0.429635 14.2521 | 6.79747 -0.41408 13.441
2024-5-19_13:43:52.0044 100330 0.0197843 | 0.013338 -0.0146122 0.734453 | 6.81242 -0.42827 14.1321 | 6.79908 -0.413658 13.3977
2024-5-19_13:43:52.0124 100330 0.0203913 | 0.0143786 -0.014459 0.694453 | 6.81346 -0.428117 14.0921 | 6.79908 -0.413658 13.3977
2024-5-19_13:43:52.0244 100330 0.0200232 | 0.0142759 -0.0140403 0.636653 | 6.81414 -0.427494 14.0121 | 6.79987 -0.413453 13.3755
2024-5-19_13:43:52.0344 100330 0.0247543 | 0.0210366 -0.0130476 0.798862 | 6.81501 -0.427109 13.9521 | 6.79397 -0.414061 13.1533
2024-5-19_13:43:52.0444 100330 0.0241947 | 0.0205035 -0.0128449 0.791232 | 6.81611 -0.426583 13.9021 | 6.79561 -0.413738 13.1109
2024-5-19_13:43:52.0544 100330 0.0229283 | 0.0193824 -0.0122487 0.731135 | 6.81663 -0.425733 13.8021 | 6.79724 -0.413484 13.071
2024-5-19_13:43:52.0644 100330 0.0223331 | 0.0186778 -0.0122436 0.720327 | 6.81758 -0.425473 13.7521 | 6.7989 -0.41323 13.0318
2024-5-19_13:43:52.0724 100330 0.0213567 | 0.0179029 -0.0116445 0.680502 | 6.81842 -0.424603 13.6721 | 6.80052 -0.412959 12.9916
2024-5-19_13:43:52.0844 100330 0.0205283 | 0.0170494 -0.0114338 0.652056 | 6.8192 -0.424114 13.6021 | 6.80215 -0.41268 12.9501
2024-5-19_13:43:52.0934 100330 0.0199428 | 0.0165094 -0.0111872 0.64354 | 6.82031 -0.423601 13.5521 | 6.8038 -0.412414 12.9086
2024-5-19_13:43:52.1044 100330 0.019361 | 0.0159308 -0.0110026 0.624304 | 6.82138 -0.423184 13.4921 | 6.80545 -0.412182 12.8678
2024-5-19_13:43:52.1124 100330 0.0192012 | 0.0163579 -0.0100551 0.514304 | 6.82181 -0.422237 13.3821 | 6.80545 -0.412182 12.8678
2024-5-19_13:43:52.1244 100330 0.0197878 | 0.0173427 -0.00952827 0.444304 | 6.82279 -0.42171 13.3121 | 6.80545 -0.412182 12.8678
2024-5-19_13:43:52.1324 100330 0.0267014 | 0.0255258 -0.00783563 0.460304 | 6.82325 -0.420488 13.1821 | 6.79773 -0.412653 12.7218
2024-5-19_13:43:52.1444 100330 0.0262728 | 0.0250266 -0.00799554 0.470362 | 6.82438 -0.420482 13.1521 | 6.79935 -0.412486 12.6818
2024-5-19_13:43:52.1524 100330 0.0252233 | 0.0241717 -0.0072069 0.420968 | 6.82514 -0.419522 13.0621 | 6.80097 -0.412315 12.6412
2024-5-19_13:43:52.1644 100330 0.025042 | 0.0239514 -0.00730992 0.429723 | 6.82648 -0.419471 13.0321 | 6.80253 -0.412161 12.6024
2024-5-19_13:43:52.1724 100330 0.0236285 | 0.0227647 -0.00633052 0.358545 | 6.82686 -0.418334 12.9221 | 6.8041 -0.412003 12.5636
2024-5-19_13:43:52.1844 100330 0.0228397 | 0.0220801 -0.00584137 0.318336 | 6.82776 -0.41771 12.8421 | 6.80568 -0.411869 12.5238
2024-5-19_13:43:52.1925 100330 0.0223785 | 0.0216131 -0.00580265 0.309466 | 6.82892 -0.417436 12.7921 | 6.80731 -0.411634 12.4827
2024-5-19_13:43:52.2044 100330 0.0212087 | 0.0205694 -0.00516835 0.262404 | 6.82948 -0.41654 12.7021 | 6.80891 -0.411371 12.4397
2024-5-19_13:43:52.2124 100330 0.0216472 | 0.0211773 -0.00448597 0.172404 | 6.83009 -0.415857 12.6121 | 6.80891 -0.411371 12.4397
2024-5-19_13:43:52.2244 100330 0.0225222 | 0.0221658 -0.00399071 0.102404 | 6.83108 -0.415362 12.5421 | 6.80891 -0.411371 12.4397
2024-5-19_13:43:52.2324 100330 0.023515 | 0.0230759 -0.00452286 0.176796 | 6.83207 -0.41487 12.4721 | 6.80899 -0.410347 12.2954
2024-5-19_13:43:52.2444 100330 0.0231002 | 0.0226433 -0.00457205 0.177179 | 6.83323 -0.41461 12.4221 | 6.81058 -0.410038 12.245
2024-5-19_13:43:52.2524 100330 0.0226561 | 0.0221824 -0.00460847 0.178347 | 6.83439 -0.414353 12.3721 | 6.81221 -0.409745 12.1938
2024-5-19_13:43:52.2644 100330 0.0217724 | 0.0213671 -0.00418158 0.140402 | 6.83521 -0.413641 12.2821 | 6.81384 -0.40946 12.1417
