QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.4886 -0.705484 179.147
100321 7.4656 -0.607814 -179.655
100322 11.4975 -0.0233727 179.512
100330 7.47142 0.0872711 178.607
MV_SC2005AM Start

 init 

2024-5-19_13:57:32.0986 100325 0.0238937 | 0.01194 -0.0206965 0.784851 | 7.6768 -0.280405 -3.29785 | 7.66486 -0.259709 -4.0827
2024-5-19_13:57:32.1067 100325 0.0233185 | 0.0117163 -0.0201614 0.744571 | 7.67657 -0.279838 -3.33785 | 7.66485 -0.259676 -4.08242
2024-5-19_13:57:32.1197 100325 0.0236494 | 0.0118495 -0.0204666 0.764388 | 7.67668 -0.280121 -3.31785 | 7.66483 -0.259655 -4.08224
2024-5-19_13:57:32.1277 100325 0.0239535 | 0.0119662 -0.0207504 0.784388 | 7.6768 -0.280405 -3.29785 | 7.66483 -0.259655 -4.08224
2024-5-19_13:57:32.1386 100325 0.0234708 | 0.0114914 -0.0204652 0.765466 | 7.67668 -0.280121 -3.31785 | 7.66519 -0.259656 -4.08332
2024-5-19_13:57:32.1476 100325 0.0237152 | 0.0116146 -0.0206764 0.775197 | 7.67674 -0.280263 -3.30785 | 7.66513 -0.259587 -4.08305
2024-5-19_13:57:32.1597 100325 0.0234761 | 0.01157 -0.020427 0.755889 | 7.67663 -0.279979 -3.32785 | 7.66506 -0.259552 -4.08374
2024-5-19_13:57:32.1666 100325 0.0229202 | 0.01143 -0.0198669 0.716295 | 7.67639 -0.279412 -3.36785 | 7.66496 -0.259545 -4.08415
2024-5-19_13:57:32.1786 100325 0.0237086 | 0.0117971 -0.0205652 0.766312 | 7.67668 -0.280121 -3.31785 | 7.66489 -0.259556 -4.08416
2024-5-19_13:57:32.1866 100325 0.0242454 | 0.0120332 -0.0210485 0.795851 | 7.67686 -0.280547 -3.28785 | 7.66483 -0.259499 -4.0837
2024-5-19_13:57:32.1986 100325 0.0238407 | 0.011911 -0.020652 0.765386 | 7.67668 -0.280121 -3.31785 | 7.66477 -0.259469 -4.08324
2024-5-19_13:57:32.2066 100325 0.0234597 | 0.0116186 -0.0203806 0.745108 | 7.67636 -0.279825 -3.33785 | 7.66474 -0.259445 -4.08296
2024-5-19_13:57:32.2197 100325 0.0242689 | 0.0119402 -0.0211285 0.794636 | 7.67665 -0.280535 -3.28785 | 7.66471 -0.259406 -4.08249
2024-5-19_13:57:32.2266 100325 0.0239859 | 0.011692 -0.0209432 0.782858 | 7.6768 -0.280405 -3.29785 | 7.66511 -0.259462 -4.08071
2024-5-19_13:57:32.2386 100325 0.0240474 | 0.0117402 -0.0209868 0.78249 | 7.6768 -0.280405 -3.29785 | 7.66506 -0.259418 -4.08034
2024-5-19_13:57:32.2477 100325 0.0238403 | 0.0115322 -0.0208655 0.772123 | 7.67653 -0.280251 -3.30785 | 7.665 -0.259385 -4.07997
2024-5-19_13:57:32.2587 100325 0.0240046 | 0.0118044 -0.0209016 0.771656 | 7.67674 -0.280263 -3.30785 | 7.66494 -0.259362 -4.07951
2024-5-19_13:57:32.2676 100325 0.0244043 | 0.0119855 -0.0212584 0.791389 | 7.67686 -0.280547 -3.28785 | 7.66487 -0.259289 -4.07924
2024-5-19_13:57:32.2786 100325 0.0244832 | 0.0120842 -0.0212932 0.791504 | 7.67686 -0.280547 -3.28785 | 7.66478 -0.259254 -4.07935
2024-5-19_13:57:32.2866 100325 0.0238342 | 0.0117188 -0.0207543 0.751426 | 7.67641 -0.279967 -3.32785 | 7.6647 -0.259213 -4.07928
2024-5-19_13:57:32.2996 100325 0.0240559 | 0.0118596 -0.0209294 0.760774 | 7.67647 -0.280109 -3.31785 | 7.66461 -0.25918 -4.07862
2024-5-19_13:57:32.3066 100325 0.0244052 | 0.0120149 -0.0212428 0.780497 | 7.67659 -0.280393 -3.29785 | 7.66457 -0.25915 -4.07835
2024-5-19_13:57:32.3186 100325 0.0245673 | 0.012259 -0.0212901 0.780312 | 7.6768 -0.280405 -3.29785 | 7.66454 -0.259115 -4.07816
2024-5-19_13:57:32.3277 100325 0.0234629 | 0.0113082 -0.020558 0.749955 | 7.67641 -0.279967 -3.32785 | 7.66511 -0.259409 -4.07781
2024-5-19_13:57:32.3396 100325 0.0237923 | 0.011675 -0.0207309 0.759975 | 7.67668 -0.280121 -3.31785 | 7.66501 -0.259391 -4.07782
2024-5-19_13:57:32.3476 100325 0.0239192 | 0.0116032 -0.0209163 0.770095 | 7.67653 -0.280251 -3.30785 | 7.66493 -0.259335 -4.07795
2024-5-19_13:57:32.3587 100325 0.0242845 | 0.011779 -0.0212366 0.790492 | 7.67665 -0.280535 -3.28785 | 7.66487 -0.259298 -4.07834
2024-5-19_13:57:32.3667 100325 0.0242925 | 0.0119858 -0.0211298 0.78051 | 7.6768 -0.280405 -3.29785 | 7.66482 -0.259275 -4.07836
