QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.4886 -0.705484 179.147
100321 7.4656 -0.607814 -179.655
100322 11.4975 -0.0233727 179.512
100330 7.47142 0.0872711 178.607
MV_SC2005AM Start

 init 

2024-5-19_14:15:57.298996 100325 0.007393 | 0.007390 -0.000241 -0.318463 | 7.672202 -0.259650 -4.397850 | 7.664812 -0.259408 -4.079387
2024-5-19_14:15:57.310066 100325 0.007495 | 0.007475 -0.000550 -0.298545 | 7.672311 -0.259935 -4.377850 | 7.664836 -0.259385 -4.079305
2024-5-19_14:15:57.319074 100325 0.007309 | 0.007308 -0.000137 -0.328635 | 7.672147 -0.259507 -4.407850 | 7.664839 -0.259370 -4.079215
2024-5-19_14:15:57.330046 100325 0.007193 | 0.007182 -0.000383 -0.300149 | 7.672311 -0.259935 -4.377850 | 7.665129 -0.259552 -4.077701
2024-5-19_14:15:57.339101 100325 0.007078 | 0.007075 -0.000179 -0.321194 | 7.672202 -0.259650 -4.397850 | 7.665126 -0.259471 -4.076656
2024-5-19_14:15:57.350166 100325 0.007081 | 0.007078 -0.000208 -0.320892 | 7.672202 -0.259650 -4.397850 | 7.665123 -0.259442 -4.076958
2024-5-19_14:15:57.359048 100325 0.006917 | 0.006914 0.000230 -0.350588 | 7.672038 -0.259222 -4.427850 | 7.665124 -0.259451 -4.077262
2024-5-19_14:15:57.370045 100325 0.006858 | 0.006846 0.000403 -0.360767 | 7.671983 -0.259079 -4.437850 | 7.665137 -0.259482 -4.077083
2024-5-19_14:15:57.379050 100325 0.007042 | 0.007040 -0.000167 -0.321330 | 7.672202 -0.259650 -4.397850 | 7.665161 -0.259483 -4.076520
2024-5-19_14:15:57.390090 100325 0.007070 | 0.007068 -0.000150 -0.321505 | 7.672202 -0.259650 -4.397850 | 7.665133 -0.259500 -4.076345
2024-5-19_14:15:57.399070 100325 0.007071 | 0.007071 0.000017 -0.331488 | 7.672147 -0.259507 -4.407850 | 7.665076 -0.259524 -4.076362
2024-5-19_14:15:57.410060 100325 0.007043 | 0.007042 0.000126 -0.341952 | 7.672092 -0.259364 -4.417850 | 7.665051 -0.259491 -4.075899
2024-5-19_14:15:57.419047 100325 0.007050 | 0.007049 0.000089 -0.342230 | 7.672092 -0.259364 -4.417850 | 7.665043 -0.259453 -4.075620
2024-5-19_14:15:57.430086 100325 0.007161 | 0.007159 -0.000196 -0.322230 | 7.672202 -0.259650 -4.397850 | 7.665043 -0.259453 -4.075620
2024-5-19_14:15:57.439067 100325 0.007192 | 0.007183 -0.000363 -0.320624 | 7.672202 -0.259650 -4.397850 | 7.665019 -0.259286 -4.077226
2024-5-19_14:15:57.450067 100325 0.007157 | 0.007153 -0.000256 -0.330801 | 7.672147 -0.259507 -4.407850 | 7.664994 -0.259251 -4.077050
2024-5-19_14:15:57.459070 100325 0.007259 | 0.007245 -0.000442 -0.320977 | 7.672202 -0.259650 -4.397850 | 7.664957 -0.259208 -4.076874
2024-5-19_14:15:57.470070 100325 0.007279 | 0.007263 -0.000483 -0.322116 | 7.672202 -0.259650 -4.397850 | 7.664938 -0.259167 -4.075735
2024-5-19_14:15:57.479047 100325 0.007039 | 0.007039 0.000056 -0.362774 | 7.671983 -0.259079 -4.437850 | 7.664944 -0.259135 -4.075077
2024-5-19_14:15:57.490072 100325 0.007173 | 0.007170 -0.000221 -0.342566 | 7.672092 -0.259364 -4.417850 | 7.664922 -0.259143 -4.075284
2024-5-19_14:15:57.499052 100325 0.007332 | 0.007311 -0.000546 -0.322646 | 7.672202 -0.259650 -4.397850 | 7.664890 -0.259103 -4.075204
2024-5-19_14:15:57.510047 100325 0.007424 | 0.007386 -0.000751 -0.312822 | 7.672256 -0.259792 -4.387850 | 7.664870 -0.259042 -4.075028
2024-5-19_14:15:57.520045 100325 0.007170 | 0.007167 -0.000180 -0.352822 | 7.672038 -0.259222 -4.427850 | 7.664870 -0.259042 -4.075028
2024-5-19_14:15:57.531047 100325 0.007343 | 0.007318 -0.000601 -0.310099 | 7.672256 -0.259792 -4.387850 | 7.664938 -0.259192 -4.077751
2024-5-19_14:15:57.539067 100325 0.007182 | 0.007179 -0.000213 -0.339987 | 7.672092 -0.259364 -4.417850 | 7.664913 -0.259151 -4.077863
2024-5-19_14:15:57.550042 100325 0.007141 | 0.007141 -0.000072 -0.349587 | 7.672038 -0.259222 -4.427850 | 7.664896 -0.259150 -4.078264
2024-5-19_14:15:57.559058 100325 0.007271 | 0.007263 -0.000325 -0.329283 | 7.672147 -0.259507 -4.407850 | 7.664884 -0.259182 -4.078568
2024-5-19_14:15:57.570075 100325 0.007093 | 0.007093 0.000055 -0.358980 | 7.671983 -0.259079 -4.437850 | 7.664890 -0.259134 -4.078870
2024-5-19_14:15:57.579041 100325 0.007212 | 0.007207 -0.000274 -0.338388 | 7.672092 -0.259364 -4.417850 | 7.664885 -0.259090 -4.079463
2024-5-19_14:15:57.590044 100325 0.007252 | 0.007244 -0.000335 -0.338179 | 7.672092 -0.259364 -4.417850 | 7.664848 -0.259029 -4.079671
2024-5-19_14:15:57.599044 100325 0.007173 | 0.007173 -0.000104 -0.358355 | 7.671983 -0.259079 -4.437850 | 7.664810 -0.258975 -4.079495
2024-5-19_14:15:57.610047 100325 0.007410 | 0.007388 -0.000566 -0.328720 | 7.672147 -0.259507 -4.407850 | 7.664759 -0.258941 -4.079130
2024-5-19_14:15:57.619047 100325 0.007432 | 0.007410 -0.000564 -0.328713 | 7.672147 -0.259507 -4.407850 | 7.664737 -0.258943 -4.079138
2024-5-19_14:15:57.630048 100325 0.007138 | 0.007137 0.000150 -0.378713 | 7.671874 -0.258793 -4.457850 | 7.664737 -0.258943 -4.079138
2024-5-19_14:15:57.639042 100325 0.007204 | 0.007195 0.000351 -0.353443 | 7.671983 -0.259079 -4.437850 | 7.664788 -0.259430 -4.084407
2024-5-19_14:15:57.650041 100325 0.007345 | 0.007345 0.000002 -0.332850 | 7.672092 -0.259364 -4.417850 | 7.664747 -0.259366 -4.085001
2024-5-19_14:15:57.659058 100325 0.007260 | 0.007257 0.000195 -0.352159 | 7.671983 -0.259079 -4.437850 | 7.664726 -0.259273 -4.085691
2024-5-19_14:15:57.670043 100325 0.007401 | 0.007396 -0.000273 -0.321473 | 7.672147 -0.259507 -4.407850 | 7.664751 -0.259234 -4.086377
2024-5-19_14:15:57.679043 100325 0.007419 | 0.007412 -0.000320 -0.320496 | 7.672147 -0.259507 -4.407850 | 7.664735 -0.259187 -4.087354
2024-5-19_14:15:57.690071 100325 0.007458 | 0.007449 -0.000363 -0.320479 | 7.672147 -0.259507 -4.407850 | 7.664698 -0.259144 -4.087372
2024-5-19_14:15:57.699047 100325 0.007482 | 0.007474 -0.000345 -0.320944 | 7.672147 -0.259507 -4.407850 | 7.664673 -0.259162 -4.086906
2024-5-19_14:15:57.710046 100325 0.007465 | 0.007463 -0.000190 -0.331407 | 7.672092 -0.259364 -4.417850 | 7.664629 -0.259174 -4.086444
2024-5-19_14:15:57.719080 100325 0.007525 | 0.007517 -0.000333 -0.321407 | 7.672147 -0.259507 -4.407850 | 7.664629 -0.259174 -4.086444
2024-5-19_14:15:57.730050 100325 0.007408 | 0.007408 -0.000047 -0.341407 | 7.672038 -0.259222 -4.427850 | 7.664629 -0.259174 -4.086444
2024-5-19_14:15:57.739044 100325 0.007445 | 0.007443 -0.000154 -0.312400 | 7.672202 -0.259650 -4.397850 | 7.664759 -0.259495 -4.085450
2024-5-19_14:15:57.751048 100325 0.007304 | 0.007299 0.000269 -0.342576 | 7.672038 -0.259222 -4.427850 | 7.664739 -0.259490 -4.085274
2024-5-19_14:15:57.760046 100325 0.007457 | 0.007456 -0.000152 -0.312464 | 7.672202 -0.259650 -4.397850 | 7.664746 -0.259497 -4.085386
2024-5-19_14:15:57.771079 100325 0.007339 | 0.007338 0.000074 -0.332066 | 7.672092 -0.259364 -4.417850 | 7.664754 -0.259438 -4.085784
2024-5-19_14:15:57.781045 100325 0.007584 | 0.007562 -0.000575 -0.291568 | 7.672311 -0.259935 -4.377850 | 7.664749 -0.259360 -4.086282
2024-5-19_14:15:57.789051 100325 0.007472 | 0.007463 -0.000373 -0.311264 | 7.672202 -0.259650 -4.397850 | 7.664739 -0.259276 -4.086587
2024-5-19_14:15:57.799043 100325 0.007228 | 0.007227 0.000132 -0.351344 | 7.671983 -0.259079 -4.437850 | 7.664756 -0.259211 -4.086506
2024-5-19_14:15:57.809081 100325 0.007377 | 0.007368 -0.000377 -0.321329 | 7.672147 -0.259507 -4.407850 | 7.664779 -0.259130 -4.086521
2024-5-19_14:15:57.820075 100325 0.007453 | 0.007431 -0.000566 -0.311129 | 7.672202 -0.259650 -4.397850 | 7.664771 -0.259084 -4.086722
2024-5-19_14:15:57.829051 100325 0.007327 | 0.007322 -0.000281 -0.331129 | 7.672092 -0.259364 -4.417850 | 7.664771 -0.259084 -4.086722
2024-5-19_14:15:57.840044 100325 0.007204 | 0.007195 -0.000344 -0.312994 | 7.672202 -0.259650 -4.397850 | 7.665006 -0.259306 -4.084856
2024-5-19_14:15:57.849080 100325 0.007081 | 0.007081 -0.000093 -0.332786 | 7.672092 -0.259364 -4.417850 | 7.665011 -0.259271 -4.085064
2024-5-19_14:15:57.860045 100325 0.006926 | 0.006920 0.000303 -0.362481 | 7.671928 -0.258936 -4.447850 | 7.665009 -0.259239 -4.085369
2024-5-19_14:15:57.869046 100325 0.007097 | 0.007095 -0.000182 -0.332368 | 7.672092 -0.259364 -4.417850 | 7.664998 -0.259182 -4.085482
2024-5-19_14:15:57.880044 100325 0.007090 | 0.007087 -0.000194 -0.332256 | 7.672092 -0.259364 -4.417850 | 7.665005 -0.259170 -4.085594
2024-5-19_14:15:57.889043 100325 0.007102 | 0.007099 -0.000197 -0.332623 | 7.672092 -0.259364 -4.417850 | 7.664993 -0.259167 -4.085227
2024-5-19_14:15:57.900048 100325 0.007315 | 0.007286 -0.000652 -0.303474 | 7.672256 -0.259792 -4.387850 | 7.664971 -0.259141 -4.084377
2024-5-19_14:15:57.909048 100325 0.007189 | 0.007175 -0.000447 -0.323841 | 7.672147 -0.259507 -4.407850 | 7.664972 -0.259060 -4.084010
2024-5-19_14:15:57.920045 100325 0.007251 | 0.007224 -0.000634 -0.313930 | 7.672202 -0.259650 -4.397850 | 7.664978 -0.259016 -4.083921
2024-5-19_14:15:57.929050 100325 0.007045 | 0.007043 0.000162 -0.336495 | 7.672092 -0.259364 -4.417850 | 7.665050 -0.259526 -4.081355
2024-5-19_14:15:57.940073 100325 0.007127 | 0.007127 -0.000073 -0.328397 | 7.672147 -0.259507 -4.407850 | 7.665020 -0.259434 -4.079453
2024-5-19_14:15:57.949078 100325 0.007294 | 0.007280 -0.000441 -0.309244 | 7.672256 -0.259792 -4.387850 | 7.664976 -0.259351 -4.078606
2024-5-19_14:15:57.960120 100325 0.007077 | 0.007077 0.000033 -0.349907 | 7.672038 -0.259222 -4.427850 | 7.664961 -0.259254 -4.077944
2024-5-19_14:15:57.969105 100325 0.007051 | 0.007050 -0.000060 -0.350081 | 7.672038 -0.259222 -4.427850 | 7.664987 -0.259162 -4.077769
2024-5-19_14:15:57.980088 100325 0.007233 | 0.007210 -0.000573 -0.319777 | 7.672202 -0.259650 -4.397850 | 7.664991 -0.259077 -4.078073
2024-5-19_14:15:57.989059 100325 0.006975 | 0.006974 -0.000126 -0.359379 | 7.671983 -0.259079 -4.437850 | 7.665009 -0.258952 -4.078471
2024-5-19_14:15:58.000057 100325 0.006937 | 0.006936 -0.000116 -0.369362 | 7.671928 -0.258936 -4.447850 | 7.664992 -0.258820 -4.078488
2024-5-19_14:15:58.009087 100325 0.007152 | 0.007126 -0.000612 -0.339249 | 7.672092 -0.259364 -4.417850 | 7.664967 -0.258752 -4.078602
2024-5-19_14:15:58.020077 100325 0.007306 | 0.007248 -0.000919 -0.319048 | 7.672202 -0.259650 -4.397850 | 7.664954 -0.258730 -4.078802
2024-5-19_14:15:58.029044 100325 0.007101 | 0.007084 -0.000491 -0.349048 | 7.672038 -0.259222 -4.427850 | 7.664954 -0.258730 -4.078802
2024-5-19_14:15:58.040044 100325 0.007230 | 0.007222 -0.000332 -0.326991 | 7.672147 -0.259507 -4.407850 | 7.664925 -0.259175 -4.080860
2024-5-19_14:15:58.049213 100325 0.007408 | 0.007365 -0.000803 -0.296113 | 7.672311 -0.259935 -4.377850 | 7.664947 -0.259132 -4.081737
2024-5-19_14:15:58.060046 100325 0.007490 | 0.007428 -0.000966 -0.285327 | 7.672366 -0.260078 -4.367850 | 7.664938 -0.259111 -4.082524
2024-5-19_14:15:58.069070 100325 0.007225 | 0.007213 -0.000427 -0.324926 | 7.672147 -0.259507 -4.407850 | 7.664934 -0.259080 -4.082924
2024-5-19_14:15:58.080043 100325 0.007309 | 0.007280 -0.000647 -0.314717 | 7.672202 -0.259650 -4.397850 | 7.664921 -0.259003 -4.083133
2024-5-19_14:15:58.089057 100325 0.007150 | 0.007144 -0.000302 -0.344893 | 7.672038 -0.259222 -4.427850 | 7.664894 -0.258920 -4.082958
2024-5-19_14:15:58.100044 100325 0.007257 | 0.007233 -0.000586 -0.335451 | 7.672092 -0.259364 -4.417850 | 7.664859 -0.258779 -4.082399
2024-5-19_14:15:58.109049 100325 0.007640 | 0.007516 -0.001372 -0.286108 | 7.672366 -0.260078 -4.367850 | 7.664850 -0.258706 -4.081743
2024-5-19_14:15:58.120047 100325 0.007412 | 0.007352 -0.000944 -0.316108 | 7.672202 -0.259650 -4.397850 | 7.664850 -0.258706 -4.081743
2024-5-19_14:15:58.129050 100325 0.007138 | 0.007128 0.000373 -0.343844 | 7.672038 -0.259222 -4.427850 | 7.664909 -0.259594 -4.084006
2024-5-19_14:15:58.140071 100325 0.007125 | 0.007118 0.000306 -0.344407 | 7.672038 -0.259222 -4.427850 | 7.664919 -0.259528 -4.083443
2024-5-19_14:15:58.151066 100325 0.007332 | 0.007325 -0.000335 -0.304296 | 7.672256 -0.259792 -4.387850 | 7.664932 -0.259457 -4.083555
2024-5-19_14:15:58.160046 100325 0.007298 | 0.007292 -0.000283 -0.313701 | 7.672202 -0.259650 -4.397850 | 7.664909 -0.259367 -4.084149
2024-5-19_14:15:58.169046 100325 0.007274 | 0.007270 -0.000237 -0.323780 | 7.672147 -0.259507 -4.407850 | 7.664876 -0.259270 -4.084071
2024-5-19_14:15:58.180044 100325 0.007396 | 0.007372 -0.000592 -0.304052 | 7.672256 -0.259792 -4.387850 | 7.664884 -0.259201 -4.083798
2024-5-19_14:15:58.189068 100325 0.007277 | 0.007267 -0.000370 -0.323844 | 7.672147 -0.259507 -4.407850 | 7.664880 -0.259137 -4.084006
2024-5-19_14:15:58.200044 100325 0.007376 | 0.007352 -0.000591 -0.313634 | 7.672202 -0.259650 -4.397850 | 7.664850 -0.259058 -4.084217
2024-5-19_14:15:58.209047 100325 0.007769 | 0.007653 -0.001335 -0.263042 | 7.672476 -0.260363 -4.347850 | 7.664823 -0.259028 -4.084808
2024-5-19_14:15:58.220049 100325 0.007218 | 0.007215 -0.000194 -0.343042 | 7.672038 -0.259222 -4.427850 | 7.664823 -0.259028 -4.084808
2024-5-19_14:15:58.229049 100325 0.007207 | 0.007206 -0.000104 -0.315957 | 7.672202 -0.259650 -4.397850 | 7.664995 -0.259546 -4.081893
2024-5-19_14:15:58.240042 100325 0.007127 | 0.007127 0.000086 -0.335746 | 7.672092 -0.259364 -4.417850 | 7.664966 -0.259450 -4.082104
2024-5-19_14:15:58.249072 100325 0.007332 | 0.007320 -0.000420 -0.305538 | 7.672256 -0.259792 -4.387850 | 7.664936 -0.259372 -4.082313
2024-5-19_14:15:58.260086 100325 0.007229 | 0.007226 -0.000189 -0.325328 | 7.672147 -0.259507 -4.407850 | 7.664921 -0.259318 -4.082522
2024-5-19_14:15:58.269046 100325 0.007260 | 0.007256 -0.000258 -0.325215 | 7.672147 -0.259507 -4.407850 | 7.664891 -0.259249 -4.082635
2024-5-19_14:15:58.280084 100325 0.007193 | 0.007193 -0.000020 -0.345198 | 7.672038 -0.259222 -4.427850 | 7.664845 -0.259202 -4.082653
2024-5-19_14:15:58.289076 100325 0.007203 | 0.007203 -0.000063 -0.344989 | 7.672038 -0.259222 -4.427850 | 7.664834 -0.259159 -4.082861
2024-5-19_14:15:58.300049 100325 0.007550 | 0.007505 -0.000822 -0.294590 | 7.672311 -0.259935 -4.377850 | 7.664806 -0.259113 -4.083261
2024-5-19_14:15:58.309079 100325 0.007310 | 0.007302 -0.000350 -0.334380 | 7.672092 -0.259364 -4.417850 | 7.664790 -0.259014 -4.083470
2024-5-19_14:15:58.321051 100325 0.007310 | 0.007302 -0.000350 -0.334380 | 7.672092 -0.259364 -4.417850 | 7.664790 -0.259014 -4.083470
